review_id,movie_id,viewer_id,review_date,score,sentiment,platform,helpful_votes
67,12,625,2025-01-27,3,Negative,StreamMax,68
68,10,473,2025-01-01,9,Positive,TabletApp,79
69,2,136,2025-03-31,8,Positive,StreamMax,80
70,1,620,2024-12-17,10,Positive,TabletApp,142
71,4,1436,2025-02-09,8,Positive,WebBrowser,81
72,11,617,2024-11-06,6,Neutral,WebBrowser,51
73,13,1964,2024-10-01,9,Positive,TabletApp,20
74,9,666,2024-09-15,7,Positive,WebBrowser,69
75,13,455,2025-02-26,10,Positive,TabletApp,126
76,9,1568,2024-07-09,7,Positive,WebBrowser,93
77,8,902,2025-04-21,5,Neutral,MobileApp,23
78,2,1209,2024-09-22,7,Positive,WebBrowser,76
79,9,1167,2024-10-20,5,Neutral,WebBrowser,113
80,4,1474,2024-12-06,6,Neutral,WebBrowser,24
81,11,1069,2024-11-12,5,Neutral,TabletApp,25
82,2,1023,2024-10-06,6,Neutral,SmartTV,25
83,9,777,2024-08-19,8,Positive,SmartTV,8
84,5,69,2025-03-28,6,Neutral,StreamMax,147
85,15,635,2025-02-26,6,Neutral,MobileApp,55
86,13,820,2024-07-24,9,Positive,MobileApp,97
87,6,776,2025-04-29,4,Negative,SmartTV,80
88,15,113,2024-08-31,3,Negative,StreamMax,99
89,10,532,2024-11-22,6,Neutral,SmartTV,101
90,5,973,2025-01-12,9,Positive,MobileApp,63
91,9,1364,2024-12-25,5,Neutral,MobileApp,93
92,5,1328,2024-08-18,8,Positive,MobileApp,146
93,10,92,2024-07-08,10,Positive,MobileApp,143
94,12,1977,2024-11-12,8,Positive,TabletApp,141
95,12,1588,2025-03-01,6,Neutral,WebBrowser,25
96,13,1415,2025-01-19,5,Neutral,WebBrowser,47
97,4,986,2025-04-02,4,Negative,TabletApp,89
98,1,1106,2025-04-08,9,Positive,TabletApp,33
99,4,825,2025-03-10,4,Negative,StreamMax,64
100,11,179,2025-04-01,3,Negative,MobileApp,131
101,8,1516,2024-12-16,7,Positive,WebBrowser,44
102,9,1323,2024-11-11,9,Positive,TabletApp,139
103,13,594,2024-06-24,6,Neutral,MobileApp,61
104,4,1597,2025-01-06,9,Positive,StreamMax,120
105,8,785,2024-10-06,5,Neutral,TabletApp,122
106,4,1538,2024-11-25,5,Neutral,TabletApp,45
107,11,1013,2025-04-21,6,Neutral,SmartTV,74
108,8,102,2025-01-22,6,Neutral,SmartTV,39
109,12,348,2024-08-26,7,Positive,TabletApp,82
110,8,1096,2024-11-20,10,Positive,TabletApp,26
111,3,531,2024-07-03,5,Neutral,MobileApp,146
112,12,1575,2024-08-09,7,Positive,SmartTV,28
113,15,1654,2024-07-16,8,Positive,StreamMax,64
114,1,84,2024-06-02,7,Positive,StreamMax,89
115,2,1740,2025-03-27,10,Positive,MobileApp,80
116,15,228,2024-08-09,3,Negative,MobileApp,119
117,14,1026,2024-11-21,10,Positive,SmartTV,130
118,10,292,2025-03-05,8,Positive,WebBrowser,47
119,11,1655,2024-06-23,5,Neutral,MobileApp,89
120,12,1690,2024-11-03,3,Negative,StreamMax,8
121,5,345,2024-09-03,5,Neutral,WebBrowser,115
122,13,999,2025-01-16,4,Negative,MobileApp,7
123,10,1574,2024-08-24,4,Negative,SmartTV,97
124,6,1087,2025-02-27,4,Negative,MobileApp,63
125,11,1209,2024-09-09,10,Positive,WebBrowser,54
126,10,1881,2024-12-08,10,Positive,StreamMax,12
127,8,1761,2025-02-28,6,Neutral,StreamMax,106
128,3,1230,2024-10-19,6,Neutral,WebBrowser,108
129,13,1273,2024-11-26,4,Negative,MobileApp,100
130,2,328,2024-11-28,6,Neutral,MobileApp,31
131,9,487,2025-01-13,7,Positive,TabletApp,6
132,5,307,2025-02-09,9,Positive,StreamMax,109
133,13,1429,2024-09-16,4,Negative,MobileApp,41
134,11,1518,2024-10-08,3,Negative,StreamMax,2
135,8,1116,2024-11-05,4,Negative,TabletApp,103
136,14,699,2025-03-17,4,Negative,TabletApp,120
137,4,45,2025-01-04,5,Neutral,WebBrowser,49
138,3,1087,2025-02-03,5,Neutral,StreamMax,1
139,14,382,2024-12-10,8,Positive,StreamMax,103
140,15,615,2025-01-27,2,Negative,MobileApp,107
141,9,539,2024-08-02,4,Negative,MobileApp,51
142,3,972,2024-06-28,10,Positive,SmartTV,103
143,7,931,2025-02-01,5,Neutral,StreamMax,67
144,9,684,2024-10-26,5,Neutral,MobileApp,147
145,9,573,2025-04-29,7,Positive,WebBrowser,105
146,15,1982,2024-09-28,7,Positive,WebBrowser,109
147,4,1841,2025-03-18,1,Negative,SmartTV,56
148,1,877,2025-04-03,8,Positive,MobileApp,45
149,12,1960,2024-11-13,4,Negative,SmartTV,22
150,15,1454,2024-10-18,5,Neutral,TabletApp,20
151,9,1531,2024-11-15,10,Positive,TabletApp,130
152,9,812,2025-03-19,1,Negative,TabletApp,144
153,5,125,2024-12-23,10,Positive,StreamMax,75
154,10,1315,2025-03-08,3,Negative,MobileApp,17
155,6,1705,2024-09-21,6,Neutral,StreamMax,116
156,10,1739,2025-02-10,6,Neutral,WebBrowser,147
157,8,1831,2025-03-03,9,Positive,SmartTV,87
158,14,255,2025-01-06,3,Negative,StreamMax,102
159,11,1233,2025-04-02,9,Positive,TabletApp,140
160,13,127,2025-01-04,10,Positive,MobileApp,2
161,7,1094,2025-01-19,6,Neutral,SmartTV,123
162,4,593,2024-06-13,5,Neutral,SmartTV,121
163,15,115,2025-01-06,5,Neutral,SmartTV,62
164,13,1045,2024-06-21,4,Negative,TabletApp,8
165,4,498,2025-01-27,7,Positive,SmartTV,61
166,4,928,2025-04-23,7,Positive,StreamMax,19
167,6,1960,2024-09-10,10,Positive,MobileApp,105
168,13,777,2024-11-06,5,Neutral,StreamMax,105
169,13,620,2025-04-01,5,Neutral,SmartTV,81
170,3,823,2024-10-12,4,Negative,SmartTV,11
171,2,284,2025-02-07,5,Neutral,StreamMax,11
172,15,441,2025-02-03,4,Negative,WebBrowser,1
173,11,1854,2025-01-25,7,Positive,SmartTV,63
174,11,1377,2025-01-02,10,Positive,MobileApp,101
175,9,767,2025-02-04,6,Neutral,StreamMax,81
176,10,1252,2024-11-19,5,Neutral,MobileApp,111
177,10,1579,2024-09-16,3,Negative,StreamMax,9
178,1,1035,2024-10-15,10,Positive,TabletApp,69
179,5,1397,2024-08-14,8,Positive,MobileApp,71
180,2,1672,2024-09-24,7,Positive,TabletApp,83
181,5,689,2024-11-15,3,Negative,WebBrowser,17
182,8,1595,2024-12-03,7,Positive,TabletApp,43
183,2,424,2025-04-22,5,Neutral,MobileApp,146
184,5,1116,2025-02-19,4,Negative,SmartTV,110
185,5,1396,2024-07-28,6,Neutral,StreamMax,7
186,2,1411,2025-02-19,9,Positive,MobileApp,132
187,1,1253,2024-07-07,9,Positive,SmartTV,38
188,14,964,2024-10-14,6,Neutral,MobileApp,34
189,3,500,2024-06-17,6,Neutral,TabletApp,127
190,13,563,2025-01-18,5,Neutral,MobileApp,29
191,5,1618,2024-06-28,8,Positive,WebBrowser,25
192,8,967,2025-03-16,7,Positive,WebBrowser,83
193,4,1125,2025-03-15,8,Positive,StreamMax,136
194,9,358,2025-02-17,6,Neutral,MobileApp,17
195,1,1836,2024-12-27,7,Positive,StreamMax,62
196,11,1730,2025-03-26,9,Positive,TabletApp,46
197,15,988,2025-02-19,6,Neutral,MobileApp,121
198,10,1030,2025-04-26,8,Positive,MobileApp,123
199,9,1245,2024-09-23,7,Positive,StreamMax,52
200,5,1978,2024-08-25,5,Neutral,StreamMax,93
201,1,1832,2024-10-22,9,Positive,WebBrowser,14
202,2,1721,2024-12-27,10,Positive,MobileApp,116
203,13,784,2024-12-09,10,Positive,WebBrowser,5
204,11,575,2024-09-25,5,Neutral,StreamMax,7
205,3,386,2024-08-18,5,Neutral,StreamMax,79
206,6,409,2025-02-13,6,Neutral,SmartTV,91
207,1,1258,2025-04-09,9,Positive,MobileApp,83
208,8,1346,2025-01-31,5,Neutral,WebBrowser,102
209,4,980,2024-07-20,4,Negative,WebBrowser,145
210,7,1427,2024-09-19,3,Negative,StreamMax,79
211,3,1635,2024-06-03,9,Positive,WebBrowser,49
212,6,1122,2024-10-07,6,Neutral,StreamMax,111
213,4,1290,2024-11-22,6,Neutral,SmartTV,42
214,6,1829,2025-03-31,3,Negative,MobileApp,120
215,5,234,2024-06-09,6,Neutral,WebBrowser,59
216,10,83,2025-03-01,10,Positive,StreamMax,131
217,6,886,2025-02-27,3,Negative,StreamMax,35
218,14,1068,2024-07-20,3,Negative,SmartTV,27
219,6,396,2025-04-20,10,Positive,MobileApp,87
220,13,531,2025-02-25,8,Positive,StreamMax,136
221,1,429,2025-01-25,9,Positive,WebBrowser,120
222,13,912,2025-02-18,9,Positive,WebBrowser,92
223,2,1532,2024-07-13,8,Positive,TabletApp,16
224,7,1388,2024-12-28,4,Negative,MobileApp,68
225,1,409,2024-09-06,10,Positive,TabletApp,134
226,7,1947,2025-01-14,10,Positive,SmartTV,137
227,9,1952,2024-12-25,5,Neutral,StreamMax,28
228,4,1812,2024-06-18,5,Neutral,StreamMax,96
229,15,276,2024-12-08,2,Negative,StreamMax,43
230,2,633,2025-03-11,10,Positive,WebBrowser,17
231,1,97,2024-06-23,9,Positive,SmartTV,118
232,2,696,2024-11-20,10,Positive,TabletApp,15
233,15,1812,2024-07-31,5,Neutral,SmartTV,1
234,4,697,2025-02-16,6,Neutral,SmartTV,98
235,15,1481,2024-09-28,6,Neutral,TabletApp,28
236,2,1879,2024-06-03,3,Negative,SmartTV,54
237,15,224,2024-07-26,5,Neutral,StreamMax,99
238,14,1835,2024-12-14,8,Positive,WebBrowser,113
239,6,1741,2025-02-08,10,Positive,TabletApp,90
240,9,727,2024-10-02,6,Neutral,StreamMax,145
241,7,1530,2024-06-26,5,Neutral,TabletApp,126
242,3,911,2024-06-27,5,Neutral,TabletApp,72
243,3,649,2024-08-20,3,Negative,WebBrowser,0
244,5,1070,2024-06-03,6,Neutral,WebBrowser,25
245,9,518,2025-04-04,2,Negative,MobileApp,111
246,14,157,2024-08-13,6,Neutral,SmartTV,138
247,9,450,2024-09-23,5,Neutral,StreamMax,111
248,7,710,2025-04-15,6,Neutral,StreamMax,120
249,3,1167,2024-09-01,8,Positive,SmartTV,73
250,5,1019,2024-06-04,5,Neutral,TabletApp,104
251,12,1363,2025-02-16,9,Positive,TabletApp,45
252,3,1697,2025-02-10,5,Neutral,MobileApp,22
253,3,1517,2025-03-16,10,Positive,StreamMax,93
254,14,853,2024-08-14,9,Positive,TabletApp,51
255,5,168,2025-03-28,6,Neutral,StreamMax,105
256,2,1886,2025-02-22,6,Neutral,MobileApp,105
257,4,68,2024-11-06,5,Neutral,SmartTV,47
258,7,1307,2025-02-23,4,Negative,MobileApp,32
259,15,871,2024-09-20,6,Neutral,WebBrowser,131
260,5,661,2024-11-01,6,Neutral,TabletApp,114
261,7,1745,2024-12-23,5,Neutral,MobileApp,77
262,7,1442,2025-02-11,4,Negative,TabletApp,13
263,12,123,2024-11-01,7,Positive,WebBrowser,36
264,15,1398,2024-06-16,5,Neutral,WebBrowser,39
265,13,137,2024-12-26,4,Negative,MobileApp,41
266,13,1100,2025-02-21,10,Positive,MobileApp,59
267,12,940,2024-10-26,6,Neutral,StreamMax,29
268,10,898,2025-03-09,6,Neutral,WebBrowser,126
269,1,1390,2024-08-28,7,Positive,WebBrowser,84
270,7,225,2024-08-21,4,Negative,WebBrowser,76
271,1,647,2025-04-13,8,Positive,SmartTV,114
272,11,1085,2024-11-28,4,Negative,TabletApp,117
273,12,756,2024-09-07,10,Positive,SmartTV,98
274,13,1698,2025-01-24,10,Positive,SmartTV,17
275,2,401,2025-01-17,7,Positive,SmartTV,137
276,2,1546,2024-09-10,8,Positive,MobileApp,125
277,14,762,2024-06-30,8,Positive,SmartTV,34
278,4,1157,2024-12-27,7,Positive,TabletApp,150
279,6,1236,2024-06-02,7,Positive,StreamMax,60
280,1,1462,2024-07-19,5,Neutral,WebBrowser,90
281,1,348,2024-07-29,6,Neutral,StreamMax,46
282,13,1955,2024-10-22,5,Neutral,MobileApp,15
283,2,1972,2025-03-19,7,Positive,WebBrowser,81
284,6,1859,2024-09-24,10,Positive,WebBrowser,88
285,1,1428,2025-03-10,10,Positive,TabletApp,146
286,12,1058,2024-09-26,7,Positive,TabletApp,121
287,15,1058,2024-11-06,2,Negative,WebBrowser,74
288,2,559,2025-01-23,6,Neutral,MobileApp,82
289,1,1062,2025-01-04,9,Positive,StreamMax,57
290,1,1805,2025-02-10,10,Positive,SmartTV,119
291,11,921,2024-06-21,6,Neutral,MobileApp,73
292,1,1851,2024-09-28,8,Positive,StreamMax,91
293,5,1275,2024-11-23,9,Positive,MobileApp,105
294,5,381,2024-09-06,4,Negative,WebBrowser,108
295,4,1910,2025-04-23,8,Positive,MobileApp,146
296,12,1934,2024-12-13,6,Neutral,SmartTV,87
297,14,1203,2024-11-25,9,Positive,TabletApp,146
298,5,2000,2024-11-04,5,Neutral,WebBrowser,37
299,1,470,2024-08-05,9,Positive,WebBrowser,85
300,15,310,2024-11-19,7,Positive,StreamMax,71
301,15,520,2024-07-22,6,Neutral,WebBrowser,51
302,4,1622,2024-06-11,8,Positive,StreamMax,140
303,9,1874,2025-01-04,3,Negative,StreamMax,95
304,14,768,2025-04-30,3,Negative,MobileApp,85
305,8,1431,2025-01-05,6,Neutral,TabletApp,105
306,9,1445,2024-08-27,7,Positive,WebBrowser,75
307,8,1885,2025-03-09,8,Positive,SmartTV,128
308,15,1425,2024-12-31,5,Neutral,StreamMax,18
309,3,1271,2024-10-30,10,Positive,MobileApp,43
310,6,1111,2025-03-08,8,Positive,SmartTV,79
311,1,345,2024-12-21,7,Positive,StreamMax,54
312,5,1057,2024-09-13,7,Positive,TabletApp,127
313,13,1634,2025-02-02,4,Negative,WebBrowser,5
314,3,1254,2025-03-19,10,Positive,MobileApp,92
315,2,555,2024-07-17,9,Positive,MobileApp,23
316,14,1384,2024-07-10,10,Positive,StreamMax,22
317,9,1369,2024-11-11,4,Negative,StreamMax,75
318,11,474,2024-08-20,9,Positive,TabletApp,25
319,5,439,2025-04-28,9,Positive,WebBrowser,35
320,2,24,2024-11-23,6,Neutral,SmartTV,123
321,9,832,2024-09-03,3,Negative,TabletApp,124
322,6,1163,2025-01-02,10,Positive,StreamMax,58
323,2,840,2024-09-02,8,Positive,StreamMax,67
324,15,686,2025-02-08,6,Neutral,SmartTV,148
325,10,725,2024-12-15,5,Neutral,StreamMax,63
326,8,1622,2024-08-01,8,Positive,SmartTV,41
327,1,1895,2024-12-06,9,Positive,TabletApp,109
328,14,441,2025-04-14,10,Positive,TabletApp,95
329,3,852,2024-10-26,9,Positive,MobileApp,22
330,12,894,2025-03-26,7,Positive,TabletApp,11
331,4,1143,2024-10-09,5,Neutral,SmartTV,132
332,5,721,2025-03-15,6,Neutral,TabletApp,86
333,10,1315,2025-01-28,3,Negative,StreamMax,33
334,4,1742,2025-03-22,5,Neutral,TabletApp,93
335,14,502,2024-10-03,4,Negative,MobileApp,67
336,10,363,2024-08-04,6,Neutral,TabletApp,10
337,7,1075,2024-06-03,3,Negative,TabletApp,20
338,10,635,2025-03-23,9,Positive,SmartTV,69
339,7,1606,2025-02-16,6,Neutral,MobileApp,42
340,2,846,2024-07-13,6,Neutral,StreamMax,145
341,13,111,2025-04-18,3,Negative,SmartTV,31
342,13,1648,2025-04-16,7,Positive,TabletApp,15
343,13,1614,2025-01-30,10,Positive,TabletApp,97
344,1,1922,2025-03-23,9,Positive,TabletApp,143
345,4,876,2024-07-07,3,Negative,MobileApp,106
346,8,672,2024-06-11,4,Negative,TabletApp,59
347,13,1644,2024-08-01,5,Neutral,SmartTV,52
348,12,1440,2024-06-01,4,Negative,WebBrowser,84
349,14,1527,2025-03-16,6,Neutral,SmartTV,120
350,12,562,2025-03-14,10,Positive,WebBrowser,94
351,6,1055,2024-08-27,8,Positive,SmartTV,131
352,11,439,2025-04-28,5,Neutral,WebBrowser,115
353,3,572,2025-03-20,4,Negative,StreamMax,38
354,1,440,2025-03-08,9,Positive,MobileApp,138
355,9,1386,2024-07-14,6,Neutral,MobileApp,78
356,3,1927,2024-12-31,4,Negative,SmartTV,92
357,2,860,2024-08-27,4,Negative,TabletApp,10
358,12,1177,2025-04-27,3,Negative,SmartTV,99
359,8,100,2024-11-04,7,Positive,MobileApp,73
360,15,388,2024-07-21,4,Negative,MobileApp,72
361,8,1316,2024-11-22,8,Positive,StreamMax,55
362,11,1822,2024-08-27,4,Negative,StreamMax,7
363,15,1756,2025-02-16,2,Negative,MobileApp,2
364,8,1301,2025-04-29,7,Positive,SmartTV,8
365,8,1498,2024-12-18,10,Positive,MobileApp,31
366,14,1779,2024-12-25,10,Positive,SmartTV,28
367,8,954,2025-02-14,7,Positive,TabletApp,73
368,8,187,2025-03-25,8,Positive,WebBrowser,122
369,4,1334,2024-08-18,4,Negative,SmartTV,36
370,12,499,2024-11-22,4,Negative,StreamMax,48
371,4,42,2024-12-01,6,Neutral,SmartTV,18
372,12,1852,2024-10-15,9,Positive,StreamMax,35
373,8,398,2024-09-16,6,Neutral,SmartTV,97
374,9,37,2024-09-15,6,Neutral,WebBrowser,41
375,10,1199,2024-06-15,5,Neutral,WebBrowser,94
376,6,1976,2025-04-19,10,Positive,StreamMax,0
377,13,1522,2025-01-08,10,Positive,TabletApp,19
378,15,1167,2024-09-19,4,Negative,StreamMax,123
379,5,1075,2025-04-21,9,Positive,SmartTV,15
380,11,332,2025-01-08,8,Positive,SmartTV,14
381,1,1514,2024-11-28,8,Positive,MobileApp,88
382,14,1397,2024-09-15,3,Negative,StreamMax,12
383,10,644,2024-07-08,9,Positive,WebBrowser,33
384,6,290,2025-03-12,10,Positive,MobileApp,108
385,11,1216,2025-02-07,7,Positive,WebBrowser,87
386,14,1881,2024-10-31,5,Neutral,StreamMax,59
387,5,445,2025-01-30,10,Positive,SmartTV,137
388,4,1026,2024-09-29,9,Positive,WebBrowser,39
389,1,257,2024-12-04,10,Positive,StreamMax,16
390,9,1084,2024-06-19,3,Negative,TabletApp,21
391,1,317,2025-04-27,7,Positive,SmartTV,18
392,9,1387,2025-04-10,5,Neutral,SmartTV,106
393,5,234,2025-04-06,4,Negative,WebBrowser,127
394,2,615,2024-11-01,6,Neutral,TabletApp,54
395,6,1976,2025-03-07,4,Negative,MobileApp,71
396,13,258,2024-06-15,10,Positive,TabletApp,0
397,1,1132,2024-09-03,9,Positive,MobileApp,74
398,1,864,2024-10-15,8,Positive,TabletApp,116
399,11,1774,2024-10-24,9,Positive,MobileApp,13
400,4,1847,2024-08-27,5,Neutral,SmartTV,77
401,1,672,2024-11-09,8,Positive,WebBrowser,28
402,8,1795,2024-12-26,8,Positive,TabletApp,114
403,9,1609,2025-02-06,6,Neutral,TabletApp,17
404,4,200,2024-07-31,6,Neutral,SmartTV,139
405,15,606,2024-08-09,6,Neutral,StreamMax,40
406,3,660,2024-06-16,10,Positive,SmartTV,31
407,4,1756,2024-12-04,8,Positive,MobileApp,112
408,10,1228,2024-11-07,5,Neutral,SmartTV,133
409,4,475,2025-01-14,3,Negative,WebBrowser,66
410,8,1365,2024-12-02,5,Neutral,WebBrowser,30
411,5,1726,2024-12-14,4,Negative,MobileApp,125
412,2,1567,2024-09-09,4,Negative,SmartTV,89
413,14,556,2025-02-26,7,Positive,StreamMax,127
414,15,210,2024-06-18,3,Negative,SmartTV,134
415,8,1674,2024-11-28,9,Positive,WebBrowser,10
416,6,1619,2024-11-28,6,Neutral,WebBrowser,61
417,12,1946,2024-11-13,5,Neutral,MobileApp,95
418,15,1043,2025-01-19,2,Negative,StreamMax,101
419,6,1812,2024-08-01,3,Negative,TabletApp,59
420,12,662,2024-10-11,10,Positive,StreamMax,1
421,8,510,2024-09-22,7,Positive,StreamMax,53
422,1,862,2025-03-16,10,Positive,StreamMax,129
423,10,714,2025-04-15,4,Negative,SmartTV,136
424,13,366,2025-03-16,4,Negative,WebBrowser,130
425,10,1065,2025-01-15,8,Positive,TabletApp,88
426,10,40,2024-11-02,10,Positive,SmartTV,42
427,7,1738,2025-01-29,3,Negative,SmartTV,6
428,12,1121,2024-06-27,8,Positive,StreamMax,93
429,3,498,2024-07-16,6,Neutral,StreamMax,109
430,14,1250,2024-06-30,3,Negative,TabletApp,17
431,7,1888,2025-02-27,5,Neutral,SmartTV,15
432,11,1399,2024-06-15,3,Negative,StreamMax,115
433,5,690,2024-11-02,9,Positive,WebBrowser,130
434,4,1012,2024-11-23,9,Positive,StreamMax,1
435,10,1875,2024-11-26,9,Positive,WebBrowser,91
436,1,1214,2024-07-11,9,Positive,WebBrowser,133
437,6,561,2024-08-08,9,Positive,SmartTV,54
438,7,1513,2024-11-20,10,Positive,WebBrowser,84
439,12,1231,2024-12-20,3,Negative,StreamMax,18
440,7,1531,2024-07-10,5,Neutral,WebBrowser,55
441,7,1457,2024-09-14,5,Neutral,WebBrowser,53
442,6,1160,2024-06-04,4,Negative,MobileApp,97
443,7,1095,2024-09-07,3,Negative,TabletApp,103
444,13,1866,2024-08-06,9,Positive,TabletApp,71
445,11,1742,2025-01-11,9,Positive,StreamMax,129
446,11,1364,2024-08-25,3,Negative,TabletApp,147
447,12,1018,2025-04-19,9,Positive,WebBrowser,38
448,13,1298,2025-04-29,5,Neutral,WebBrowser,43
449,6,923,2024-08-23,10,Positive,WebBrowser,93
450,11,220,2024-12-31,4,Negative,SmartTV,117
451,6,67,2024-09-22,3,Negative,SmartTV,77
452,6,1270,2024-07-17,4,Negative,SmartTV,60
453,2,652,2025-03-23,10,Positive,WebBrowser,5
454,3,1912,2025-04-09,8,Positive,SmartTV,110
455,6,790,2024-06-08,9,Positive,MobileApp,56
456,4,1328,2024-11-19,7,Positive,StreamMax,127
457,6,1530,2025-01-23,8,Positive,WebBrowser,21
458,15,1981,2024-12-27,5,Neutral,MobileApp,92
459,6,703,2025-02-27,9,Positive,TabletApp,43
460,9,58,2024-06-08,6,Neutral,SmartTV,83
461,9,1555,2024-08-29,6,Neutral,TabletApp,149
462,2,807,2024-08-12,10,Positive,WebBrowser,42
463,5,137,2025-04-08,3,Negative,SmartTV,121
464,8,1415,2024-08-21,3,Negative,SmartTV,74
465,1,1012,2024-08-09,9,Positive,TabletApp,107
466,8,1772,2024-10-06,5,Neutral,WebBrowser,65
467,2,796,2024-08-28,3,Negative,WebBrowser,106
468,10,557,2025-01-02,3,Negative,StreamMax,12
469,14,699,2024-10-08,6,Neutral,WebBrowser,118
470,8,163,2024-09-14,8,Positive,TabletApp,29
471,1,128,2024-10-01,8,Positive,StreamMax,138
472,6,105,2025-03-16,3,Negative,WebBrowser,28
473,8,365,2024-06-04,3,Negative,StreamMax,122
474,9,607,2025-01-27,6,Neutral,SmartTV,5
475,8,428,2025-04-30,6,Neutral,StreamMax,102
476,11,847,2024-10-11,10,Positive,StreamMax,89
477,12,87,2025-04-01,10,Positive,MobileApp,7
478,7,1481,2025-01-08,9,Positive,TabletApp,65
479,6,1013,2024-07-01,10,Positive,TabletApp,41
480,10,874,2024-08-30,4,Negative,TabletApp,81
481,11,1347,2025-03-23,9,Positive,MobileApp,118
482,4,529,2025-01-19,4,Negative,MobileApp,147
483,4,884,2024-06-20,3,Negative,TabletApp,74
484,6,724,2024-10-17,8,Positive,MobileApp,37
485,12,1526,2024-11-20,3,Negative,SmartTV,98
486,8,430,2025-03-02,3,Negative,WebBrowser,0
487,15,1690,2025-03-04,5,Neutral,TabletApp,40
488,10,1285,2025-02-02,8,Positive,WebBrowser,69
489,12,50,2024-09-08,7,Positive,StreamMax,82
490,7,1353,2025-03-25,6,Neutral,WebBrowser,110
491,1,1764,2024-09-13,10,Positive,WebBrowser,52
492,2,1947,2025-04-17,10,Positive,SmartTV,42
493,6,1541,2025-01-18,3,Negative,StreamMax,33
494,13,1388,2024-12-13,6,Neutral,WebBrowser,123
495,4,993,2024-07-15,2,Negative,SmartTV,95
496,11,1577,2024-08-01,3,Negative,StreamMax,69
497,10,551,2025-02-06,5,Neutral,WebBrowser,145
