perf_id,movie_id,city,month,total_views,unique_viewers,avg_rating,revenue_usd,engagement_score
62,2,Chennai,2024-06,7578,5893,8.9,26893.76,87.0
63,3,Chennai,2024-06,5656,4645,8.2,23243.58,46.8
64,4,Chennai,2024-06,2156,1452,7.7,3632.8,84.8
65,5,Chennai,2024-06,8382,5892,6.9,47204.58,62.5
66,6,Chennai,2024-06,6039,5169,6.2,14146.49,57.4
67,7,Chennai,2024-06,2276,1825,7.0,11803.72,64.3
68,8,Chennai,2024-06,6910,6194,5.7,19968.34,67.4
69,9,Chennai,2024-06,1937,1404,8.3,3521.31,48.1
70,10,Chennai,2024-06,11248,9435,6.0,48523.83,46.7
71,11,Chennai,2024-06,10615,7664,4.8,25644.82,88.9
72,12,Chennai,2024-06,4851,3108,8.3,19782.9,43.2
73,13,Chennai,2024-06,207,171,7.5,1214.61,67.8
74,14,Chennai,2024-06,9319,7406,5.5,34649.06,83.5
75,15,Chennai,2024-06,3181,2852,4.5,14025.38,90.1
76,1,New York,2024-06,11588,7752,4.8,69458.07,94.9
77,2,New York,2024-06,4541,3056,4.8,17496.72,79.6
78,3,New York,2024-06,5886,4552,7.8,31428.28,46.2
79,4,New York,2024-06,7526,5011,6.2,40529.13,41.4
80,5,New York,2024-06,6102,5109,6.2,31969.0,90.9
81,6,New York,2024-06,4347,2974,5.0,10112.78,77.2
82,7,New York,2024-06,10116,8175,6.4,26841.55,77.6
83,8,New York,2024-06,5591,3602,7.9,25483.98,71.8
84,9,New York,2024-06,9123,5744,5.3,48977.96,86.5
85,10,New York,2024-06,3337,2032,6.9,14042.41,90.2
86,11,New York,2024-06,6577,4175,8.0,29541.19,64.6
87,12,New York,2024-06,10803,6844,8.7,36061.09,49.1
88,13,New York,2024-06,8850,6002,9.2,48581.53,58.1
89,14,New York,2024-06,11464,9931,6.8,42267.23,64.6
90,15,New York,2024-06,10183,8623,8.7,58402.58,88.1
91,1,Los Angeles,2024-06,11755,8109,6.7,20074.98,87.4
92,2,Los Angeles,2024-06,5052,3767,6.5,8641.75,63.0
93,3,Los Angeles,2024-06,6611,4829,7.9,20560.0,70.0
94,4,Los Angeles,2024-06,1252,980,8.3,7338.96,56.6
95,5,Los Angeles,2024-06,11707,10384,5.6,41304.82,56.4
96,6,Los Angeles,2024-06,617,449,7.0,3419.86,55.9
97,7,Los Angeles,2024-06,8835,7498,8.7,32985.65,79.7
98,8,Los Angeles,2024-06,10907,9657,7.7,17460.84,40.0
99,9,Los Angeles,2024-06,8094,6719,8.9,28188.85,52.6
100,10,Los Angeles,2024-06,797,503,8.8,2069.8,69.7
101,11,Los Angeles,2024-06,10936,8494,8.8,18237.65,69.9
102,12,Los Angeles,2024-06,836,742,7.1,4520.05,95.3
103,13,Los Angeles,2024-06,8566,7348,4.6,14518.02,77.1
104,14,Los Angeles,2024-06,4171,3062,4.9,12091.33,59.6
105,15,Los Angeles,2024-06,2823,2356,5.9,9284.58,58.3
106,1,London,2024-06,8317,7470,4.9,35230.38,91.7
107,2,London,2024-06,2622,1669,8.1,13586.27,45.0
108,3,London,2024-06,3387,2881,8.8,5923.36,79.9
109,4,London,2024-06,8784,6784,8.4,34825.48,78.9
110,5,London,2024-06,979,785,7.2,4040.66,78.6
111,6,London,2024-06,6013,5325,6.3,23399.9,94.6
112,7,London,2024-06,3994,3463,6.7,9610.09,48.0
113,8,London,2024-06,4660,3210,4.8,27507.66,78.1
114,9,London,2024-06,11932,7535,5.3,26012.65,67.4
115,10,London,2024-06,1230,1029,7.4,3241.68,50.7
116,11,London,2024-06,8682,5836,7.7,28581.06,72.6
117,12,London,2024-06,11786,9604,5.9,22479.5,71.4
118,13,London,2024-06,8723,5836,7.0,43964.95,93.8
119,14,London,2024-06,6634,4234,8.1,39706.08,65.1
120,15,London,2024-06,7905,5291,5.8,12661.19,84.3
121,1,Tokyo,2024-06,4428,3156,5.5,25395.62,71.3
122,2,Tokyo,2024-06,2437,2183,9.0,10744.82,56.5
123,3,Tokyo,2024-06,10684,7099,8.7,63624.31,86.9
124,4,Tokyo,2024-06,3980,2931,5.6,6078.17,71.4
125,5,Tokyo,2024-06,6715,4882,9.1,31295.51,76.6
126,6,Tokyo,2024-06,8731,7326,4.6,43069.18,95.4
127,7,Tokyo,2024-06,7721,5697,5.9,21969.95,61.6
128,8,Tokyo,2024-06,1278,1081,5.8,6471.47,46.9
129,9,Tokyo,2024-06,4896,3185,7.9,15681.31,77.9
130,10,Tokyo,2024-06,1410,922,4.8,3974.7,88.3
131,11,Tokyo,2024-06,9532,7973,7.2,22738.86,96.8
132,12,Tokyo,2024-06,11817,10297,4.5,40124.01,57.7
133,13,Tokyo,2024-06,259,201,7.1,1325.69,42.4
134,14,Tokyo,2024-06,7566,5377,7.8,24299.41,75.4
135,15,Tokyo,2024-06,11118,9726,5.3,55640.02,65.6
136,1,Sydney,2024-06,1589,1244,5.8,8123.69,54.2
137,2,Sydney,2024-06,11136,8911,8.9,43770.98,72.2
138,3,Sydney,2024-06,990,775,7.9,5927.25,60.8
139,4,Sydney,2024-06,11523,9622,8.2,51970.77,96.5
140,5,Sydney,2024-06,6882,4713,6.0,29162.25,48.3
141,6,Sydney,2024-06,10790,6791,8.7,62344.66,94.3
142,7,Sydney,2024-06,5567,4192,7.0,8397.37,47.0
143,8,Sydney,2024-06,5968,4478,6.9,10388.55,92.7
144,9,Sydney,2024-06,11182,8265,5.8,55783.41,43.1
145,10,Sydney,2024-06,2986,2010,7.9,13269.35,94.7
146,11,Sydney,2024-06,7411,4845,8.6,32181.55,47.3
147,12,Sydney,2024-06,9274,7461,4.9,20192.9,97.3
148,13,Sydney,2024-06,2121,1790,4.9,4235.57,95.2
149,14,Sydney,2024-06,9416,8323,6.6,27166.38,73.8
150,15,Sydney,2024-06,3133,2472,4.9,14066.34,69.3
151,1,Paris,2024-06,7534,5626,6.1,30800.24,80.1
152,2,Paris,2024-06,935,586,7.9,3291.38,67.6
153,3,Paris,2024-06,910,672,7.1,1382.04,87.9
154,4,Paris,2024-06,9493,7852,8.6,55723.38,67.9
155,5,Paris,2024-06,7957,5527,7.6,16814.55,42.4
156,6,Paris,2024-06,6340,5172,6.2,19275.08,45.4
157,7,Paris,2024-06,10623,8750,8.0,43591.61,53.4
158,8,Paris,2024-06,5321,3679,5.3,23457.03,90.8
159,9,Paris,2024-06,714,601,9.1,1488.38,92.8
160,10,Paris,2024-06,9114,7946,5.4,16400.98,63.0
161,11,Paris,2024-06,421,255,4.7,2428.25,78.7
162,12,Paris,2024-06,8008,6373,8.8,43418.47,40.9
163,13,Paris,2024-06,3256,2827,7.7,14525.39,79.0
164,14,Paris,2024-06,1755,1213,6.8,2634.4,91.7
165,15,Paris,2024-06,5929,4898,6.4,20045.39,51.9
166,1,Dubai,2024-06,2496,1609,6.8,8307.69,62.1
167,2,Dubai,2024-06,11397,9501,5.3,29414.44,58.8
168,3,Dubai,2024-06,414,318,7.4,2253.38,50.8
169,4,Dubai,2024-06,1198,748,6.5,4459.74,44.2
170,5,Dubai,2024-06,2106,1879,6.3,10683.16,73.9
171,6,Dubai,2024-06,4923,3936,5.3,20661.92,94.0
172,7,Dubai,2024-06,6800,5708,8.5,29238.17,81.7
173,8,Dubai,2024-06,8378,6429,9.1,15465.28,83.2
174,9,Dubai,2024-06,4252,3726,4.9,8774.66,64.2
175,10,Dubai,2024-06,10145,6095,4.8,39868.05,47.3
176,11,Dubai,2024-06,9197,5722,7.4,39646.2,88.1
177,12,Dubai,2024-06,1881,1202,6.0,5586.06,53.3
178,13,Dubai,2024-06,10649,9530,6.4,53754.81,61.7
179,14,Dubai,2024-06,10941,7576,6.8,44529.78,67.7
180,15,Dubai,2024-06,11173,7557,8.3,50886.11,79.7
181,1,Singapore,2024-06,2014,1270,6.4,11801.19,88.2
182,2,Singapore,2024-06,7169,6135,5.7,36056.44,64.1
183,3,Singapore,2024-06,859,724,7.6,1653.21,49.8
184,4,Singapore,2024-06,3755,2959,5.3,14302.86,74.6
185,5,Singapore,2024-06,5780,5156,8.6,33754.55,56.8
186,6,Singapore,2024-06,5280,4331,8.1,28410.24,63.4
187,7,Singapore,2024-06,5979,5003,5.5,20139.72,91.7
188,8,Singapore,2024-06,1652,1310,8.8,7105.35,68.0
189,9,Singapore,2024-06,1174,1004,7.4,2793.91,70.0
190,10,Singapore,2024-06,10182,7196,4.9,43859.33,60.4
191,11,Singapore,2024-06,1492,1079,7.7,6993.8,60.2
192,12,Singapore,2024-06,9186,5827,6.9,47410.01,64.2
193,13,Singapore,2024-06,8146,6978,6.8,48568.6,72.1
194,14,Singapore,2024-06,1045,914,8.6,6130.79,42.2
195,15,Singapore,2024-06,2945,1893,8.2,8975.87,72.6
196,1,Toronto,2024-06,3369,2374,8.7,6966.33,54.5
197,2,Toronto,2024-06,1273,1142,4.8,3068.57,70.3
198,3,Toronto,2024-06,1321,955,5.7,6816.82,74.5
199,4,Toronto,2024-06,9864,7499,4.7,36281.42,69.8
200,5,Toronto,2024-06,6577,4619,9.2,37244.18,84.7
201,6,Toronto,2024-06,5635,3829,8.4,11997.14,56.4
202,7,Toronto,2024-06,3347,2496,5.5,12868.63,73.7
203,8,Toronto,2024-06,2772,1971,8.8,12210.91,64.5
204,9,Toronto,2024-06,5867,4234,7.3,30083.32,86.1
205,10,Toronto,2024-06,5806,4416,6.7,10670.31,68.5
206,11,Toronto,2024-06,11764,9851,8.8,24228.04,50.9
207,12,Toronto,2024-06,1980,1460,6.5,10822.96,62.9
208,13,Toronto,2024-06,7283,5980,9.0,16016.18,53.7
209,14,Toronto,2024-06,3479,2313,7.7,12018.43,76.2
210,15,Toronto,2024-06,3030,1824,7.1,8281.43,68.4
211,1,Berlin,2024-06,9817,7187,6.3,43067.67,58.8
212,2,Berlin,2024-06,2371,1814,8.0,7294.82,73.4
213,3,Berlin,2024-06,8261,5584,5.0,30042.02,89.3
214,4,Berlin,2024-06,1107,744,9.0,4519.25,52.8
215,5,Berlin,2024-06,2891,2041,6.7,8019.01,84.9
216,6,Berlin,2024-06,9113,6234,8.3,18847.39,44.7
217,7,Berlin,2024-06,10956,9599,6.4,28371.22,82.4
218,8,Berlin,2024-06,6423,5349,8.1,21559.3,88.6
219,9,Berlin,2024-06,11734,10519,6.1,22736.95,94.9
220,10,Berlin,2024-06,10964,8965,6.2,40940.48,62.9
221,11,Berlin,2024-06,5530,4590,5.6,30997.54,79.0
222,12,Berlin,2024-06,11488,7733,8.1,42272.5,40.8
223,13,Berlin,2024-06,2907,2358,7.5,6809.65,76.9
224,14,Berlin,2024-06,7132,5388,8.9,21175.8,74.2
225,15,Berlin,2024-06,8580,6200,6.6,47577.91,89.1
226,1,Mumbai,2024-07,621,391,8.9,2976.52,51.5
227,2,Mumbai,2024-07,11651,8566,4.9,66197.94,70.1
228,3,Mumbai,2024-07,9776,7684,5.9,53226.53,88.6
229,4,Mumbai,2024-07,11638,10271,8.9,42849.92,97.7
230,5,Mumbai,2024-07,3448,2234,8.2,8784.66,60.8
231,6,Mumbai,2024-07,7145,4550,6.0,35034.37,45.8
232,7,Mumbai,2024-07,11034,8286,4.8,62578.42,40.4
233,8,Mumbai,2024-07,3008,2397,6.4,11616.6,94.7
234,9,Mumbai,2024-07,11510,8572,6.8,35465.12,79.4
235,10,Mumbai,2024-07,2949,2446,5.7,12565.18,75.0
236,11,Mumbai,2024-07,2401,1811,9.0,11610.79,60.3
237,12,Mumbai,2024-07,1641,1314,7.8,2845.76,61.0
238,13,Mumbai,2024-07,6509,4072,5.1,18114.62,82.1
239,14,Mumbai,2024-07,7763,5564,8.7,25277.87,57.8
240,15,Mumbai,2024-07,5411,4485,7.9,20561.68,73.6
241,1,Delhi,2024-07,11612,10309,5.5,41906.99,85.9
242,2,Delhi,2024-07,6574,4442,9.0,34827.05,81.6
243,3,Delhi,2024-07,9861,7637,5.3,42208.36,50.2
244,4,Delhi,2024-07,2842,1958,4.6,12604.33,48.0
245,5,Delhi,2024-07,3772,3207,4.8,15853.22,44.7
246,6,Delhi,2024-07,1217,1064,5.4,6948.78,48.0
247,7,Delhi,2024-07,7037,4571,5.1,13107.8,79.0
248,8,Delhi,2024-07,3974,3189,7.7,15060.08,60.9
249,9,Delhi,2024-07,4363,3856,7.2,25584.3,46.4
250,10,Delhi,2024-07,3463,2730,8.9,8968.46,41.4
251,11,Delhi,2024-07,271,227,8.4,1070.47,59.0
252,12,Delhi,2024-07,9749,7871,5.5,40693.25,86.4
253,13,Delhi,2024-07,9336,6614,7.9,18155.48,44.1
254,14,Delhi,2024-07,6682,4990,7.3,37375.04,47.1
255,15,Delhi,2024-07,5947,4808,5.0,30374.78,92.7
256,1,Bangalore,2024-07,18118,13034,4.5,69269.36,55.3
257,2,Bangalore,2024-07,4705,3914,9.0,8708.65,44.4
258,3,Bangalore,2024-07,1934,1613,5.7,11259.34,53.7
259,4,Bangalore,2024-07,3031,1837,7.7,8651.05,68.5
260,5,Bangalore,2024-07,851,719,8.2,1612.7,63.6
261,6,Bangalore,2024-07,11572,10199,4.8,49889.96,89.9
262,7,Bangalore,2024-07,4274,3506,8.6,14875.2,77.7
263,8,Bangalore,2024-07,10784,7266,4.8,38449.61,64.6
264,9,Bangalore,2024-07,4070,2971,7.6,24370.6,70.0
265,10,Bangalore,2024-07,8120,6393,8.4,41663.35,93.7
266,11,Bangalore,2024-07,557,388,5.4,3139.41,48.9
267,12,Bangalore,2024-07,5906,4052,6.2,34465.08,77.0
268,13,Bangalore,2024-07,3421,2767,6.5,7724.13,51.8
269,14,Bangalore,2024-07,3608,2894,7.9,10632.56,79.9
270,15,Bangalore,2024-07,6401,5470,7.0,23105.17,50.5
271,1,Hyderabad,2024-07,2154,1369,5.8,12259.44,69.1
272,2,Hyderabad,2024-07,840,698,6.8,3279.49,54.3
273,3,Hyderabad,2024-07,3970,3223,6.9,11122.6,87.9
274,4,Hyderabad,2024-07,7299,6550,8.1,12238.87,58.8
275,5,Hyderabad,2024-07,501,385,5.1,2800.08,48.7
276,6,Hyderabad,2024-07,3750,2814,6.8,6368.61,93.0
277,7,Hyderabad,2024-07,4116,3259,7.3,21204.56,52.6
278,8,Hyderabad,2024-07,9274,5646,7.4,34365.85,80.3
279,9,Hyderabad,2024-07,8103,7245,4.7,18955.06,78.9
280,10,Hyderabad,2024-07,1075,904,5.4,4497.01,57.8
281,11,Hyderabad,2024-07,6059,4711,5.7,20109.04,55.5
282,12,Hyderabad,2024-07,526,388,8.1,2189.9,88.8
283,13,Hyderabad,2024-07,4057,2887,5.7,9380.66,86.7
284,14,Hyderabad,2024-07,1841,1488,4.7,7081.16,77.7
285,15,Hyderabad,2024-07,3676,2370,5.1,12995.77,89.8
286,1,Chennai,2024-07,8399,6298,8.0,31984.88,84.6
287,2,Chennai,2024-07,5531,3383,7.4,32859.65,85.4
288,3,Chennai,2024-07,6868,4728,5.6,19344.44,71.0
289,4,Chennai,2024-07,8987,7578,7.8,41152.03,79.5
290,5,Chennai,2024-07,8947,6002,8.1,44417.9,88.5
291,6,Chennai,2024-07,6177,3919,4.7,18085.53,87.6
292,7,Chennai,2024-07,1808,1112,9.0,9214.73,44.6
293,8,Chennai,2024-07,400,240,5.1,1473.34,64.4
294,9,Chennai,2024-07,1023,700,5.0,5384.9,83.3
295,10,Chennai,2024-07,2130,1414,7.6,6217.6,77.2
296,11,Chennai,2024-07,4940,3917,8.5,15414.93,94.8
297,12,Chennai,2024-07,4175,2908,8.7,9876.0,49.2
298,13,Chennai,2024-07,11817,10014,8.8,21540.46,78.4
299,14,Chennai,2024-07,2945,2644,8.3,14854.28,92.2
300,15,Chennai,2024-07,11281,7052,6.0,18252.97,69.4
301,1,New York,2024-07,2151,1639,7.8,11335.79,74.7
302,2,New York,2024-07,9127,8137,6.7,53248.91,77.2
303,3,New York,2024-07,2809,2338,6.2,11875.36,85.3
304,4,New York,2024-07,393,346,6.7,1348.49,93.3
305,5,New York,2024-07,8147,5862,5.2,24585.99,42.4
306,6,New York,2024-07,7934,4977,8.0,26405.03,42.4
307,7,New York,2024-07,440,313,9.2,1698.21,94.3
308,8,New York,2024-07,8018,4931,6.9,38784.22,73.0
309,9,New York,2024-07,11493,7813,7.7,46049.05,63.6
310,10,New York,2024-07,8360,5101,7.1,26767.88,40.4
311,11,New York,2024-07,6764,5013,8.4,35573.93,52.0
312,12,New York,2024-07,9463,5753,5.7,54482.46,86.8
313,13,New York,2024-07,5865,5064,7.3,19099.85,53.6
314,14,New York,2024-07,2943,1854,4.9,11510.54,76.5
315,15,New York,2024-07,4056,2498,8.1,19694.89,95.1
316,1,Los Angeles,2024-07,10391,6804,5.3,35417.4,71.2
317,2,Los Angeles,2024-07,6720,4257,6.1,16967.56,94.2
318,3,Los Angeles,2024-07,4081,2802,5.6,19839.31,46.4
319,4,Los Angeles,2024-07,2848,2492,8.7,6085.55,89.1
320,5,Los Angeles,2024-07,4374,3654,4.5,8415.42,68.5
321,6,Los Angeles,2024-07,9174,7324,7.2,15933.5,88.1
322,7,Los Angeles,2024-07,10149,6532,6.0,52996.79,96.9
323,8,Los Angeles,2024-07,4372,2820,6.0,11091.98,64.8
324,9,Los Angeles,2024-07,8894,7308,7.9,15955.62,60.0
325,10,Los Angeles,2024-07,5109,4508,6.8,14740.41,52.4
326,11,Los Angeles,2024-07,7851,5764,6.3,40021.38,46.7
327,12,Los Angeles,2024-07,9573,6228,7.9,46593.79,94.4
328,13,Los Angeles,2024-07,11176,7192,7.4,57741.36,56.7
329,14,Los Angeles,2024-07,9068,7175,7.4,36813.17,93.8
330,15,Los Angeles,2024-07,11777,9717,6.5,42466.39,91.6
331,1,London,2024-07,7481,5082,4.7,39107.58,48.3
332,2,London,2024-07,9834,6342,8.2,37271.31,50.0
333,3,London,2024-07,4458,3901,4.6,7863.62,97.2
334,4,London,2024-07,4157,3118,8.3,23785.21,53.9
335,5,London,2024-07,1335,1178,6.4,4911.67,64.8
336,6,London,2024-07,2046,1824,8.6,9791.48,70.6
337,7,London,2024-07,6821,5495,6.6,25073.1,91.5
338,8,London,2024-07,8155,5211,5.1,38906.11,64.6
339,9,London,2024-07,4201,2936,7.8,6476.18,63.2
340,10,London,2024-07,11374,7792,6.8,53867.46,65.3
341,11,London,2024-07,11974,10236,8.7,17992.06,44.7
342,12,London,2024-07,11544,8834,7.7,30533.67,50.0
343,13,London,2024-07,1279,823,8.2,6740.96,49.1
344,14,London,2024-07,3685,2877,6.0,17083.86,51.3
345,15,London,2024-07,6946,5649,4.6,39166.21,45.4
346,1,Tokyo,2024-07,1817,1250,4.6,7640.21,46.3
347,2,Tokyo,2024-07,8176,5164,6.9,38172.32,90.2
348,3,Tokyo,2024-07,3254,2778,6.3,9773.1,50.5
349,4,Tokyo,2024-07,1900,1573,7.5,7395.42,70.5
350,5,Tokyo,2024-07,8576,6248,6.6,31938.73,73.4
351,6,Tokyo,2024-07,10551,8118,7.8,26294.15,40.1
352,7,Tokyo,2024-07,7299,6043,6.0,13441.53,50.7
353,8,Tokyo,2024-07,4933,3633,9.2,12382.92,53.8
354,9,Tokyo,2024-07,208,163,5.3,420.41,97.6
355,10,Tokyo,2024-07,2987,1902,6.0,13809.36,90.3
356,11,Tokyo,2024-07,5266,4616,8.3,10043.39,92.8
357,12,Tokyo,2024-07,9420,7909,5.7,37767.46,51.9
358,13,Tokyo,2024-07,3782,3325,5.7,8822.31,71.7
359,14,Tokyo,2024-07,10899,7358,7.0,40786.09,58.8
360,15,Tokyo,2024-07,2494,2180,7.3,8622.35,55.1
361,1,Sydney,2024-07,6702,4228,8.1,31783.51,66.0
362,2,Sydney,2024-07,1731,1210,4.7,8129.21,82.8
363,3,Sydney,2024-07,3737,2525,5.8,6411.81,57.5
364,4,Sydney,2024-07,7363,4475,4.8,12012.33,54.5
365,5,Sydney,2024-07,10004,7343,7.0,16130.27,65.5
366,6,Sydney,2024-07,8060,5876,5.6,46336.2,46.1
367,7,Sydney,2024-07,6203,3832,6.1,25306.98,94.2
368,8,Sydney,2024-07,8396,5977,6.0,23255.89,65.8
369,9,Sydney,2024-07,6371,5034,9.2,35753.09,65.8
370,10,Sydney,2024-07,10491,6308,6.8,29047.33,56.9
371,11,Sydney,2024-07,8380,6141,4.8,43278.05,49.8
372,12,Sydney,2024-07,1462,1287,8.8,3012.93,95.2
373,13,Sydney,2024-07,2746,1822,5.1,9444.13,54.5
374,14,Sydney,2024-07,4570,3887,7.5,16035.09,70.7
375,15,Sydney,2024-07,3577,3044,5.0,9188.94,59.3
376,1,Paris,2024-07,10013,7078,5.8,51833.26,88.9
377,2,Paris,2024-07,1724,1165,8.0,3131.08,70.2
378,3,Paris,2024-07,10695,8637,5.1,60883.17,89.6
379,4,Paris,2024-07,5922,4950,7.6,34445.3,97.2
380,5,Paris,2024-07,1466,1250,8.0,5794.04,55.8
381,6,Paris,2024-07,269,183,6.5,1275.94,66.8
382,7,Paris,2024-07,11113,8623,6.9,46994.24,92.3
383,8,Paris,2024-07,2447,1469,5.1,12868.59,61.1
384,9,Paris,2024-07,9969,8371,5.0,47993.46,64.4
385,10,Paris,2024-07,7534,6482,8.1,32721.41,55.2
386,11,Paris,2024-07,5116,3512,6.3,24681.62,69.3
387,12,Paris,2024-07,1536,1219,6.1,8019.05,55.0
388,13,Paris,2024-07,5991,5018,7.3,20109.81,67.3
389,14,Paris,2024-07,3927,2625,5.6,15175.93,65.7
390,15,Paris,2024-07,627,488,4.8,3629.55,76.1
391,1,Dubai,2024-07,8228,7322,7.6,38790.77,66.5
392,2,Dubai,2024-07,2334,1703,6.5,10337.02,94.1
393,3,Dubai,2024-07,6052,5089,7.0,24667.31,65.1
394,4,Dubai,2024-07,9241,6777,5.3,17532.3,70.6
395,5,Dubai,2024-07,11431,8431,5.2,38907.38,95.6
396,6,Dubai,2024-07,2645,2167,6.4,7574.33,93.8
397,7,Dubai,2024-07,772,468,7.0,1633.71,70.6
398,8,Dubai,2024-07,11866,9852,7.1,67902.4,42.3
399,9,Dubai,2024-07,7857,6666,8.4,12046.15,74.9
400,10,Dubai,2024-07,3957,2960,6.2,9695.14,93.1
401,11,Dubai,2024-07,8375,5887,8.1,40336.31,57.3
402,12,Dubai,2024-07,9816,6635,6.1,38453.9,52.0
403,13,Dubai,2024-07,1049,795,6.0,2942.73,90.5
404,14,Dubai,2024-07,4441,3544,8.9,19479.19,74.3
405,15,Dubai,2024-07,3424,2899,6.3,12776.87,44.8
406,1,Singapore,2024-07,3477,2925,9.1,17192.23,75.6
407,2,Singapore,2024-07,10632,7999,8.0,62898.38,96.5
408,3,Singapore,2024-07,11159,8222,9.1,64897.38,70.7
409,4,Singapore,2024-07,1893,1314,4.7,10626.73,94.3
410,5,Singapore,2024-07,8976,7935,6.7,14802.49,74.8
411,6,Singapore,2024-07,10960,9131,5.1,30162.01,81.3
412,7,Singapore,2024-07,479,373,5.9,2198.0,86.4
413,8,Singapore,2024-07,1451,928,7.8,8156.83,96.1
414,9,Singapore,2024-07,3040,2282,9.1,15514.41,86.9
415,10,Singapore,2024-07,5521,3665,8.8,28052.11,91.3
416,11,Singapore,2024-07,8447,5678,6.0,37766.27,59.2
417,12,Singapore,2024-07,10004,8778,5.8,21950.76,45.9
418,13,Singapore,2024-07,11741,8820,6.2,63523.52,47.4
419,14,Singapore,2024-07,11700,9869,6.7,58265.73,54.5
420,15,Singapore,2024-07,6176,4846,6.8,12576.44,62.3
421,1,Toronto,2024-07,1034,922,7.7,4271.0,86.2
422,2,Toronto,2024-07,3034,2245,8.0,9282.4,40.1
