activity_id,viewer_id,movie_id,watch_date,platform,watch_duration_min,completion_rate,rewatched,device_type
52,1321,14,2024-12-15,WebBrowser,68,0.5,1,Desktop
53,1255,9,2024-10-07,WebBrowser,78,0.54,1,Desktop
54,1802,6,2024-12-02,MobileApp,57,0.46,1,Tablet
55,1807,15,2024-08-22,WebBrowser,50,0.56,1,Desktop
56,841,1,2025-03-05,MobileApp,125,0.9,1,TV
57,832,2,2025-01-02,WebBrowser,134,0.92,0,Tablet
58,692,6,2024-11-14,TabletApp,80,0.77,0,Desktop
59,1165,10,2024-09-08,WebBrowser,128,0.96,0,Tablet
60,629,5,2024-09-18,StreamMax,84,0.57,0,Tablet
61,1706,3,2025-04-16,MobileApp,66,0.59,0,Desktop
62,1920,8,2025-02-20,StreamMax,86,0.6,0,Tablet
63,353,8,2024-10-18,WebBrowser,105,0.99,0,Desktop
64,649,1,2025-01-26,WebBrowser,48,0.47,0,Mobile
65,1612,9,2024-07-04,StreamMax,32,0.36,0,Mobile
66,1847,3,2024-11-30,MobileApp,47,0.44,0,Mobile
67,1863,5,2024-11-09,WebBrowser,102,0.71,0,Desktop
68,208,3,2025-03-15,MobileApp,43,0.41,0,Tablet
69,1132,1,2025-04-18,MobileApp,77,0.63,1,Desktop
70,199,14,2024-06-21,WebBrowser,53,0.39,0,Desktop
71,1201,11,2024-12-03,WebBrowser,105,0.95,1,Tablet
72,1161,14,2024-11-24,SmartTV,90,0.92,0,Desktop
73,1388,8,2024-12-19,MobileApp,95,0.94,1,TV
74,1624,3,2024-07-13,StreamMax,83,0.55,0,Tablet
75,748,15,2024-10-08,TabletApp,52,0.43,1,Mobile
76,1856,6,2024-08-25,SmartTV,40,0.34,0,Tablet
77,559,4,2025-01-21,TabletApp,98,0.76,0,Mobile
78,40,10,2024-11-02,WebBrowser,84,0.57,0,TV
79,688,10,2024-12-05,WebBrowser,122,0.86,0,Desktop
80,1473,14,2024-10-12,SmartTV,103,0.69,0,Tablet
81,174,14,2024-11-11,StreamMax,91,0.9,1,Mobile
82,363,2,2024-12-09,StreamMax,41,0.35,1,Mobile
83,1509,10,2024-11-22,MobileApp,88,0.91,0,Tablet
84,678,8,2024-07-25,MobileApp,69,0.73,0,Mobile
85,1471,2,2024-07-17,MobileApp,35,0.3,0,Mobile
86,1281,5,2025-02-27,WebBrowser,48,0.43,0,Desktop
87,1499,6,2025-03-31,WebBrowser,86,0.91,0,Mobile
88,1996,1,2025-04-23,StreamMax,76,0.68,0,Mobile
89,1738,2,2024-11-12,MobileApp,97,0.83,0,TV
90,1038,8,2025-04-24,SmartTV,71,0.5,1,Desktop
91,1342,7,2024-10-07,StreamMax,54,0.5,0,Tablet
92,1502,4,2024-07-01,StreamMax,104,0.73,0,Tablet
93,1525,1,2025-04-09,TabletApp,125,0.94,0,Mobile
94,1490,8,2024-11-11,SmartTV,92,0.62,0,Tablet
95,1526,3,2024-09-06,StreamMax,50,0.46,0,Tablet
96,946,6,2024-11-14,WebBrowser,132,0.95,1,Tablet
97,291,6,2024-12-15,MobileApp,53,0.59,0,Tablet
98,1295,15,2024-08-16,WebBrowser,51,0.58,0,Desktop
99,1938,1,2025-01-03,SmartTV,60,0.57,0,Mobile
100,325,6,2024-11-03,SmartTV,139,0.88,0,Tablet
101,1023,8,2025-01-08,WebBrowser,64,0.6,1,Mobile
102,218,4,2024-07-05,TabletApp,144,0.97,0,Desktop
103,1013,7,2024-09-19,SmartTV,52,0.59,0,TV
104,1401,8,2025-04-13,TabletApp,61,0.6,0,TV
105,765,4,2024-08-05,StreamMax,82,0.56,0,TV
106,429,5,2024-11-15,WebBrowser,99,0.78,0,TV
107,679,8,2024-09-08,TabletApp,119,0.93,1,Desktop
108,1249,10,2024-09-30,WebBrowser,103,0.87,0,Mobile
109,1804,3,2024-07-19,TabletApp,60,0.57,0,Tablet
110,1845,6,2024-10-15,MobileApp,47,0.35,0,TV
111,746,10,2024-07-01,StreamMax,73,0.63,0,Tablet
112,1605,8,2024-10-18,SmartTV,145,0.97,0,Desktop
113,1323,12,2024-09-05,SmartTV,99,0.97,0,Desktop
114,1033,7,2024-10-23,WebBrowser,63,0.47,0,Mobile
115,419,3,2024-08-13,WebBrowser,46,0.51,0,Tablet
116,303,11,2025-01-15,TabletApp,79,0.74,0,TV
117,561,1,2025-01-20,SmartTV,71,0.49,0,Desktop
118,35,3,2024-08-03,TabletApp,43,0.34,0,Desktop
119,1476,3,2024-12-10,SmartTV,98,0.69,0,TV
120,1558,8,2024-06-18,TabletApp,96,0.75,0,Mobile
121,115,13,2024-08-07,MobileApp,62,0.65,0,Desktop
122,482,14,2024-07-18,SmartTV,110,0.83,0,TV
123,1009,10,2024-12-23,WebBrowser,105,0.68,0,Tablet
124,1123,10,2024-07-16,MobileApp,126,0.87,0,TV
125,116,2,2025-04-27,StreamMax,70,0.78,0,Desktop
126,87,6,2024-09-21,MobileApp,88,0.83,0,TV
127,1300,5,2024-12-20,WebBrowser,38,0.31,0,Tablet
128,83,7,2024-09-11,MobileApp,80,0.71,0,Mobile
129,166,4,2025-03-25,MobileApp,140,0.92,0,Desktop
130,1875,7,2025-04-18,SmartTV,101,0.82,0,Tablet
131,413,1,2025-04-08,SmartTV,54,0.48,1,Tablet
132,585,1,2025-01-18,WebBrowser,48,0.32,0,Mobile
133,1648,1,2024-07-25,TabletApp,102,0.91,0,TV
134,1381,12,2024-09-18,SmartTV,115,0.92,0,Desktop
135,1812,8,2024-10-08,SmartTV,40,0.45,0,Desktop
136,423,13,2025-02-11,SmartTV,131,0.96,0,Tablet
137,339,8,2025-02-07,MobileApp,79,0.64,0,Mobile
138,1747,13,2024-06-16,SmartTV,64,0.73,1,TV
139,1493,6,2025-03-18,StreamMax,97,0.97,0,Desktop
140,1520,15,2024-12-08,StreamMax,49,0.35,0,Mobile
141,619,14,2024-08-12,StreamMax,54,0.48,1,Mobile
142,1909,13,2025-01-30,StreamMax,42,0.42,0,Tablet
143,1188,13,2025-03-13,TabletApp,44,0.49,0,Desktop
144,815,2,2024-12-11,WebBrowser,48,0.32,1,Tablet
145,28,1,2025-03-23,SmartTV,89,0.93,0,Tablet
146,548,2,2024-06-13,MobileApp,86,0.77,0,Mobile
147,91,15,2025-03-16,TabletApp,125,0.88,1,Tablet
148,1466,11,2024-06-25,TabletApp,49,0.5,0,Tablet
149,765,7,2024-12-08,MobileApp,127,0.81,0,TV
150,1189,5,2024-12-23,SmartTV,73,0.56,0,Tablet
151,836,9,2024-12-02,TabletApp,96,0.97,0,Desktop
152,735,4,2025-04-27,MobileApp,98,0.63,1,TV
153,1761,6,2025-04-17,TabletApp,52,0.4,0,Desktop
154,1175,13,2024-08-11,WebBrowser,111,0.98,0,Tablet
155,1027,13,2025-03-06,TabletApp,33,0.33,0,Desktop
156,1401,10,2024-11-19,SmartTV,82,0.64,0,Tablet
157,1679,7,2024-12-19,WebBrowser,59,0.45,0,Mobile
158,1319,2,2025-01-19,StreamMax,45,0.41,1,Mobile
159,1876,6,2024-07-07,MobileApp,100,0.79,0,TV
160,1110,12,2025-04-23,StreamMax,41,0.37,0,TV
161,381,1,2025-02-27,SmartTV,137,0.97,0,Mobile
162,615,10,2024-11-23,SmartTV,64,0.57,0,Tablet
163,1216,8,2024-06-22,WebBrowser,71,0.78,0,Mobile
164,970,2,2024-12-14,WebBrowser,83,0.83,0,TV
165,1403,14,2025-02-07,StreamMax,136,1.0,1,Mobile
166,1114,6,2024-07-18,WebBrowser,36,0.36,0,TV
167,962,2,2024-06-18,WebBrowser,83,0.53,0,Tablet
168,1401,1,2024-08-05,TabletApp,70,0.77,0,Desktop
169,1428,6,2025-03-17,StreamMax,88,0.57,0,Mobile
170,1006,10,2024-08-29,MobileApp,116,0.93,0,TV
171,1407,6,2024-08-19,MobileApp,95,0.98,0,Desktop
172,1589,1,2024-08-30,MobileApp,36,0.33,0,Tablet
173,911,2,2024-07-30,MobileApp,38,0.37,0,Mobile
174,751,6,2025-01-07,SmartTV,48,0.31,0,Mobile
175,69,5,2024-10-21,StreamMax,86,0.61,0,TV
176,1362,13,2024-12-01,MobileApp,95,0.63,1,Desktop
177,332,1,2024-07-15,TabletApp,111,0.77,0,TV
178,1989,6,2024-09-03,TabletApp,72,0.71,0,Desktop
179,273,1,2025-01-08,StreamMax,58,0.66,0,TV
180,19,8,2024-11-03,SmartTV,96,0.92,1,Tablet
181,387,11,2025-01-30,StreamMax,72,0.63,0,Mobile
182,261,1,2025-02-17,WebBrowser,38,0.4,0,Mobile
183,506,8,2025-04-17,MobileApp,111,0.83,1,Tablet
184,885,1,2024-06-22,MobileApp,77,0.85,0,TV
185,1242,5,2024-09-24,WebBrowser,85,0.82,0,Tablet
186,1548,8,2025-04-22,SmartTV,63,0.41,0,Mobile
187,64,6,2024-12-31,MobileApp,34,0.35,0,Mobile
188,806,5,2024-10-22,SmartTV,82,0.63,1,TV
189,1752,14,2025-01-27,TabletApp,90,0.66,0,Desktop
190,187,6,2025-02-06,TabletApp,152,0.98,0,Mobile
191,550,2,2024-10-17,MobileApp,139,0.91,0,TV
192,1160,14,2024-09-06,MobileApp,68,0.54,1,Tablet
193,1225,3,2025-01-04,TabletApp,86,0.77,1,Desktop
194,1410,11,2024-10-30,TabletApp,57,0.43,0,Desktop
195,1192,11,2025-02-22,MobileApp,52,0.42,0,TV
196,1327,2,2025-02-10,WebBrowser,77,0.56,0,Tablet
197,300,7,2024-10-09,StreamMax,86,0.72,1,Tablet
198,387,1,2024-10-09,TabletApp,97,0.62,1,Tablet
199,105,2,2025-01-05,TabletApp,111,0.74,0,Tablet
200,245,5,2024-08-11,StreamMax,57,0.43,0,Mobile
201,1124,3,2025-03-02,WebBrowser,49,0.49,0,Mobile
202,692,1,2025-04-16,WebBrowser,99,0.8,0,Desktop
203,1169,8,2024-10-15,MobileApp,126,0.95,0,TV
204,352,11,2024-12-14,MobileApp,39,0.44,0,TV
205,256,11,2024-07-19,MobileApp,65,0.47,0,Desktop
206,1880,14,2024-09-21,MobileApp,44,0.5,0,Tablet
207,1229,8,2024-12-15,StreamMax,71,0.61,1,Tablet
208,907,10,2024-08-16,TabletApp,112,0.82,0,Mobile
209,557,7,2024-09-14,WebBrowser,138,0.92,0,TV
210,1023,3,2025-02-15,TabletApp,105,0.73,0,Desktop
211,1231,10,2024-12-11,MobileApp,58,0.42,0,TV
212,510,5,2024-10-27,TabletApp,126,0.93,1,Mobile
213,1154,9,2024-10-03,WebBrowser,72,0.75,0,Mobile
214,707,5,2024-12-02,WebBrowser,85,0.57,0,Tablet
215,523,1,2025-02-16,WebBrowser,113,0.94,0,Desktop
216,1321,13,2025-02-20,StreamMax,81,0.72,1,TV
217,469,1,2024-07-17,StreamMax,64,0.41,0,TV
218,601,6,2024-08-12,MobileApp,110,0.9,0,TV
219,137,1,2024-09-27,SmartTV,80,0.73,0,Tablet
220,484,14,2024-06-09,TabletApp,98,0.87,0,Mobile
221,552,11,2024-08-31,TabletApp,98,0.67,0,Desktop
222,1910,1,2025-01-02,SmartTV,57,0.53,0,Mobile
223,1833,6,2024-06-30,StreamMax,63,0.58,0,Desktop
224,1248,2,2024-12-06,WebBrowser,86,0.7,0,Desktop
225,1462,10,2024-10-06,StreamMax,38,0.41,1,Desktop
226,944,1,2025-02-26,TabletApp,118,0.86,0,Tablet
227,956,13,2025-04-28,TabletApp,127,0.96,0,Tablet
228,1073,10,2024-12-26,MobileApp,63,0.42,1,Desktop
229,753,1,2025-04-26,SmartTV,80,0.59,0,TV
230,1537,6,2024-06-09,WebBrowser,47,0.45,1,Desktop
231,619,8,2024-12-20,MobileApp,42,0.47,1,TV
232,956,6,2025-01-25,WebBrowser,63,0.56,0,Mobile
233,299,2,2025-04-24,SmartTV,118,0.95,0,Tablet
234,1817,14,2025-01-08,SmartTV,43,0.35,1,Tablet
235,1779,1,2025-02-01,MobileApp,45,0.35,0,Desktop
236,208,1,2024-08-14,StreamMax,65,0.69,0,TV
237,827,1,2024-11-19,SmartTV,79,0.62,0,Mobile
238,1554,13,2025-02-05,StreamMax,91,0.6,0,Mobile
239,315,15,2024-12-11,SmartTV,76,0.53,0,Desktop
240,787,1,2025-01-06,MobileApp,29,0.33,0,Desktop
241,1692,5,2024-08-17,MobileApp,72,0.6,0,Mobile
242,77,1,2024-10-14,WebBrowser,98,0.85,1,Desktop
243,1011,14,2024-07-29,SmartTV,52,0.36,0,TV
244,1958,13,2024-10-11,SmartTV,110,0.7,0,TV
245,1368,7,2025-03-29,TabletApp,81,0.66,0,Desktop
246,46,2,2025-01-09,TabletApp,83,0.64,0,Tablet
247,1212,1,2024-11-01,TabletApp,50,0.48,0,Desktop
248,510,13,2025-01-24,TabletApp,93,0.93,0,Tablet
249,859,10,2025-03-18,MobileApp,51,0.53,0,Tablet
250,1358,14,2024-07-04,WebBrowser,79,0.84,0,Tablet
251,970,1,2025-02-17,WebBrowser,44,0.38,1,Tablet
252,812,14,2025-03-29,MobileApp,64,0.45,0,Desktop
253,1225,4,2024-11-15,StreamMax,70,0.72,0,Mobile
254,878,1,2025-02-08,StreamMax,99,0.93,0,Desktop
255,597,1,2024-12-05,TabletApp,125,0.94,0,Desktop
256,677,14,2024-07-22,StreamMax,32,0.33,0,Desktop
257,1838,11,2024-12-18,StreamMax,132,0.88,0,TV
258,1078,8,2024-07-07,MobileApp,109,0.88,0,TV
259,1590,1,2025-02-19,SmartTV,42,0.37,0,TV
260,1424,9,2025-01-29,TabletApp,115,0.87,0,Tablet
261,1906,5,2024-09-29,SmartTV,109,0.86,0,Tablet
262,318,1,2025-03-17,StreamMax,96,0.91,1,Desktop
263,151,1,2024-10-23,WebBrowser,92,0.78,0,Mobile
264,1369,14,2025-03-10,MobileApp,102,0.81,1,Mobile
265,801,5,2024-09-07,StreamMax,50,0.54,1,TV
266,1665,5,2025-02-10,SmartTV,85,0.62,0,TV
267,1449,10,2025-01-03,StreamMax,84,0.76,1,Desktop
268,852,14,2024-07-18,MobileApp,83,0.64,0,Desktop
269,1237,2,2025-02-09,MobileApp,109,0.97,0,Mobile
270,1457,8,2024-11-23,SmartTV,116,0.86,0,Tablet
271,1986,11,2025-02-12,SmartTV,46,0.44,0,TV
272,1822,7,2025-02-26,WebBrowser,113,1.0,0,Mobile
273,1473,6,2025-03-30,WebBrowser,106,0.68,0,TV
274,1207,1,2025-04-18,WebBrowser,94,0.98,1,Tablet
275,1873,14,2025-04-08,TabletApp,89,0.7,0,TV
276,1336,3,2024-06-20,WebBrowser,104,0.87,0,Desktop
277,1950,1,2025-01-17,WebBrowser,41,0.47,0,Mobile
278,561,11,2025-03-02,WebBrowser,136,0.87,0,TV
279,1359,11,2024-06-27,TabletApp,74,0.65,0,TV
280,1752,11,2024-09-29,TabletApp,130,0.95,0,Desktop
281,411,7,2024-06-08,SmartTV,76,0.78,0,Tablet
282,266,1,2025-02-07,MobileApp,108,0.77,1,Desktop
283,741,10,2024-07-20,SmartTV,104,0.84,1,Mobile
284,319,1,2024-08-02,StreamMax,35,0.3,0,TV
285,233,15,2025-01-18,TabletApp,82,0.54,0,Mobile
286,1259,6,2024-10-21,StreamMax,113,0.85,0,Tablet
287,1117,11,2024-10-07,StreamMax,80,0.81,0,TV
288,1670,1,2025-03-01,StreamMax,58,0.44,0,Tablet
289,886,11,2024-07-24,MobileApp,120,0.87,0,Tablet
290,1532,11,2024-07-05,WebBrowser,114,0.98,0,Tablet
291,1316,5,2024-12-06,StreamMax,40,0.44,0,Mobile
292,36,8,2024-12-08,StreamMax,105,0.75,1,Tablet
293,1727,1,2024-07-20,TabletApp,70,0.69,0,Tablet
294,1130,7,2024-11-22,SmartTV,34,0.38,0,Tablet
295,1759,3,2024-07-25,MobileApp,42,0.34,0,Tablet
296,575,15,2024-11-22,TabletApp,86,0.89,0,Tablet
297,615,3,2024-12-26,SmartTV,39,0.32,0,Mobile
298,1908,13,2025-02-24,SmartTV,72,0.72,0,TV
299,652,11,2024-08-03,TabletApp,49,0.43,1,Desktop
300,638,1,2025-03-09,TabletApp,81,0.83,1,TV
301,1348,14,2024-10-31,StreamMax,51,0.37,0,Tablet
302,683,1,2024-10-16,TabletApp,40,0.4,0,Tablet
303,1658,1,2024-12-02,TabletApp,39,0.37,1,Desktop
304,345,1,2024-09-03,StreamMax,70,0.7,0,Desktop
305,1961,1,2025-02-16,StreamMax,65,0.47,0,TV
306,1495,8,2024-09-05,StreamMax,75,0.64,0,Tablet
307,1081,2,2024-10-28,TabletApp,75,0.54,0,TV
308,1263,3,2024-08-03,TabletApp,94,0.79,0,Mobile
309,392,5,2024-10-08,TabletApp,86,0.78,0,Desktop
310,83,1,2024-09-27,WebBrowser,79,0.82,0,Desktop
311,231,3,2025-03-22,StreamMax,34,0.3,1,Mobile
312,700,5,2024-09-14,StreamMax,64,0.61,1,TV
313,776,15,2025-02-21,MobileApp,112,0.78,1,Desktop
314,724,2,2024-09-05,WebBrowser,108,0.91,0,TV
315,517,6,2024-06-02,StreamMax,64,0.6,0,Mobile
316,1074,10,2024-10-27,SmartTV,44,0.44,0,TV
317,1576,1,2024-06-08,TabletApp,79,0.83,0,TV
318,921,8,2024-09-11,WebBrowser,95,0.78,1,TV
319,452,1,2025-01-11,MobileApp,83,0.93,0,Tablet
320,1943,2,2025-03-10,StreamMax,69,0.66,0,TV
321,1413,7,2024-07-21,SmartTV,75,0.49,0,Mobile
322,1961,1,2025-02-06,TabletApp,57,0.48,1,Desktop
323,1083,8,2024-06-02,SmartTV,36,0.4,0,Tablet
324,3,8,2025-02-02,SmartTV,44,0.44,0,Tablet
325,1648,2,2024-10-18,TabletApp,98,0.71,0,TV
326,967,1,2025-04-16,SmartTV,52,0.44,0,TV
327,1555,4,2024-10-02,MobileApp,101,0.67,0,Mobile
328,212,9,2025-03-17,WebBrowser,108,0.93,1,Desktop
329,1096,6,2024-07-08,WebBrowser,58,0.37,0,Desktop
330,448,10,2024-12-07,StreamMax,44,0.37,1,Tablet
331,575,1,2025-04-26,MobileApp,102,0.71,0,Desktop
332,192,8,2024-10-07,MobileApp,132,0.85,0,TV
333,1347,7,2024-06-04,MobileApp,142,0.95,0,TV
334,1032,1,2025-03-26,StreamMax,56,0.46,0,TV
335,1543,14,2025-01-18,StreamMax,75,0.69,0,Mobile
336,395,9,2024-08-28,StreamMax,102,0.88,0,Desktop
337,405,12,2024-08-07,WebBrowser,48,0.51,0,Desktop
338,1487,1,2025-04-07,WebBrowser,115,0.92,0,Mobile
339,326,12,2025-01-29,SmartTV,61,0.56,0,Desktop
340,1829,9,2025-01-02,MobileApp,41,0.38,0,Tablet
341,470,1,2025-03-08,TabletApp,124,0.8,1,TV
342,323,13,2025-04-01,WebBrowser,77,0.67,0,Tablet
343,533,3,2025-04-07,MobileApp,40,0.45,0,Tablet
344,953,11,2024-07-17,MobileApp,92,0.91,1,Desktop
345,1093,10,2024-07-28,TabletApp,95,0.69,0,Desktop
346,369,1,2025-03-03,MobileApp,94,0.91,1,Mobile
347,1132,2,2024-07-13,StreamMax,84,0.54,0,TV
348,1696,7,2024-08-31,MobileApp,49,0.33,0,Desktop
349,184,10,2025-02-21,StreamMax,57,0.4,0,Mobile
350,660,10,2025-01-22,SmartTV,51,0.42,0,Mobile
351,1588,11,2024-06-13,StreamMax,81,0.9,0,Mobile
352,390,1,2025-02-02,WebBrowser,97,0.97,0,TV
353,1292,1,2025-04-06,SmartTV,34,0.32,0,Mobile
354,1033,11,2025-04-27,SmartTV,62,0.5,0,Desktop
355,1181,8,2025-03-04,TabletApp,94,0.63,1,Mobile
356,1689,1,2024-10-26,WebBrowser,108,0.85,0,Tablet
357,91,6,2025-04-03,MobileApp,39,0.33,0,TV
358,1483,1,2025-02-20,WebBrowser,52,0.49,0,Mobile
359,306,2,2024-10-16,SmartTV,85,0.66,0,TV
360,349,3,2025-03-23,TabletApp,52,0.56,0,Tablet
361,426,1,2024-10-02,TabletApp,131,0.9,0,Mobile
362,1595,11,2025-04-22,MobileApp,150,0.97,0,Mobile
363,97,3,2024-08-02,TabletApp,109,0.91,0,Mobile
364,1502,3,2024-10-11,TabletApp,106,0.97,1,Tablet
365,510,13,2025-02-20,TabletApp,49,0.44,0,Tablet
366,318,3,2024-07-04,TabletApp,55,0.4,0,Desktop
367,1322,7,2024-11-05,StreamMax,63,0.59,0,Tablet
368,268,10,2024-12-06,WebBrowser,125,0.81,0,TV
369,516,15,2024-07-13,WebBrowser,57,0.62,0,Tablet
370,1938,1,2024-12-09,MobileApp,84,0.91,0,Desktop
371,756,10,2024-11-22,SmartTV,75,0.68,0,Mobile
372,963,9,2024-12-11,SmartTV,63,0.52,0,Mobile
373,1497,11,2024-07-26,TabletApp,85,0.56,0,TV
374,1992,4,2024-08-08,SmartTV,59,0.63,0,Mobile
375,597,15,2024-10-01,MobileApp,50,0.44,1,TV
376,1078,2,2024-10-10,WebBrowser,73,0.71,0,Desktop
377,185,11,2024-07-19,TabletApp,116,0.8,0,Mobile
378,1243,7,2024-09-10,MobileApp,46,0.47,0,Desktop
379,662,5,2024-09-24,StreamMax,46,0.33,0,Mobile
380,1254,14,2025-02-14,WebBrowser,83,0.65,0,Tablet
381,1476,11,2025-02-24,MobileApp,81,0.92,0,Mobile
382,61,15,2025-03-28,StreamMax,52,0.37,0,Mobile
383,773,2,2024-11-18,SmartTV,95,0.63,0,Mobile
384,1860,15,2024-12-30,WebBrowser,108,0.94,0,TV
385,119,1,2025-01-10,TabletApp,134,0.87,0,TV
386,814,2,2025-02-27,TabletApp,57,0.63,0,Tablet
387,1670,2,2024-08-20,MobileApp,145,0.96,0,Tablet
388,692,3,2025-01-01,StreamMax,42,0.35,0,TV
389,1098,1,2024-12-26,StreamMax,44,0.33,0,TV
390,1917,2,2024-12-20,TabletApp,55,0.6,0,Mobile
391,874,10,2024-06-10,StreamMax,107,0.96,0,Desktop
392,815,5,2025-04-08,WebBrowser,32,0.36,0,Tablet
393,1926,1,2025-01-23,SmartTV,100,0.84,0,Tablet
394,376,6,2025-01-10,WebBrowser,105,0.7,0,Desktop
395,1075,8,2024-10-14,StreamMax,46,0.5,0,Mobile
396,917,11,2024-09-08,WebBrowser,63,0.54,1,Desktop
397,435,5,2024-09-28,StreamMax,77,0.75,0,TV
398,1422,6,2024-06-10,TabletApp,67,0.72,0,Mobile
399,586,11,2025-03-21,WebBrowser,38,0.43,1,Desktop
400,1225,5,2025-03-21,TabletApp,104,0.74,0,Tablet
401,1346,13,2024-10-30,StreamMax,128,0.88,1,TV
402,1605,1,2024-12-05,MobileApp,89,0.75,0,Mobile
403,1582,3,2025-02-12,MobileApp,103,0.92,1,Mobile
404,1599,2,2024-09-23,WebBrowser,54,0.51,0,Mobile
405,1433,5,2024-06-12,MobileApp,146,0.99,0,Mobile
406,856,6,2024-06-16,MobileApp,82,0.75,0,Desktop
407,452,7,2024-11-14,MobileApp,103,0.77,1,Desktop
408,1150,8,2024-06-09,StreamMax,110,0.89,1,Tablet
409,242,13,2024-08-12,SmartTV,132,0.93,0,Desktop
410,1563,5,2024-12-01,WebBrowser,72,0.68,0,Mobile
411,784,11,2025-03-21,StreamMax,78,0.56,1,Desktop
412,987,1,2025-01-05,MobileApp,39,0.37,1,TV
413,1892,8,2024-08-01,SmartTV,53,0.48,0,Desktop
414,1631,2,2024-11-07,StreamMax,108,0.89,1,Desktop
415,459,6,2024-06-01,WebBrowser,45,0.3,0,Tablet
416,113,1,2024-07-30,MobileApp,126,0.83,0,Desktop
417,686,12,2024-06-14,WebBrowser,31,0.33,0,TV
418,1290,1,2025-04-07,StreamMax,45,0.35,0,Desktop
419,1069,13,2024-09-09,WebBrowser,131,0.91,0,Mobile
420,452,10,2025-04-23,WebBrowser,45,0.5,0,TV
421,120,5,2025-01-16,WebBrowser,127,0.92,0,Desktop
422,1138,4,2024-07-18,WebBrowser,122,0.82,1,Mobile
423,1158,15,2025-04-05,StreamMax,42,0.35,0,TV
424,400,1,2025-01-30,SmartTV,37,0.36,0,Desktop
425,1876,2,2024-12-23,StreamMax,59,0.38,0,Desktop
426,1842,12,2024-08-24,TabletApp,75,0.77,0,Tablet
427,1537,1,2025-01-03,SmartTV,71,0.47,0,Tablet
428,2000,7,2024-11-24,MobileApp,62,0.56,0,TV
429,1214,3,2024-06-26,TabletApp,88,0.81,0,Desktop
430,603,13,2025-02-17,WebBrowser,33,0.33,0,Mobile
