spend_id,movie_id,month,channel,spend_usd,impressions,clicks,conversions
120,4,2024-11,Billboards,345731.88,551685,42626,3034
121,5,2024-08,Social Media,201591.43,2468940,61595,11130
122,5,2024-08,TV Ads,298922.41,346503,180290,15988
123,5,2024-08,Influencer,130109.13,4135984,153653,13422
124,5,2024-08,Search Ads,397626.72,1322205,136860,2336
125,5,2024-08,Email,354499.18,589001,67243,13837
126,5,2024-08,Billboards,89412.52,827716,185619,19854
127,5,2024-09,Social Media,389290.13,1057397,178732,8193
128,5,2024-09,TV Ads,267974.01,894378,86376,2754
129,5,2024-09,Influencer,554657.09,3503219,99638,10303
130,5,2024-09,Search Ads,281848.55,3481772,45435,5685
131,5,2024-09,Email,390482.36,3623130,145145,18761
132,5,2024-09,Billboards,646104.92,1666848,150840,6422
133,5,2024-10,Social Media,707187.42,3613216,139271,4242
134,5,2024-10,TV Ads,144616.69,1118290,77590,18263
135,5,2024-10,Influencer,277224.61,1193788,81098,3470
136,5,2024-10,Search Ads,213228.73,3228012,26585,16472
137,5,2024-10,Email,662992.79,3199259,27778,9581
138,5,2024-10,Billboards,402355.31,3760302,14344,15995
139,5,2024-11,Social Media,403530.06,4695746,32975,8245
140,5,2024-11,TV Ads,504023.16,3413444,119445,5652
141,5,2024-11,Influencer,453364.5,4728216,173450,5232
142,5,2024-11,Search Ads,336696.32,231187,69872,1623
143,5,2024-11,Email,395179.94,4210676,184105,12930
144,5,2024-11,Billboards,332187.72,4527077,191120,15565
145,5,2024-12,Social Media,731870.91,1580059,146832,19739
146,5,2024-12,TV Ads,232076.68,1561212,41987,10478
147,5,2024-12,Influencer,659802.73,1031078,2323,1382
148,5,2024-12,Search Ads,349397.13,4872264,78701,16912
149,5,2024-12,Email,496554.32,1951733,81561,712
150,5,2024-12,Billboards,565241.36,1659273,104014,14416
151,6,2024-11,Social Media,441698.08,286470,73063,1036
152,6,2024-11,TV Ads,625121.35,1646110,169008,19484
153,6,2024-11,Influencer,722767.11,1602609,114512,3447
154,6,2024-11,Search Ads,367873.99,3168693,162202,216
155,6,2024-11,Email,233380.23,1368038,181847,18228
156,6,2024-11,Billboards,590538.6,4447138,178416,12478
157,6,2024-12,Social Media,428500.48,1832142,65440,6589
158,6,2024-12,TV Ads,535902.16,4103631,105664,1745
159,6,2024-12,Influencer,492967.88,2732200,107146,7044
160,6,2024-12,Search Ads,553375.64,1808143,100177,14642
161,6,2024-12,Email,538531.57,4834257,146149,3768
162,6,2024-12,Billboards,380162.51,115800,27010,19451
163,6,2025-01,Social Media,112740.92,3399671,66668,9289
164,6,2025-01,TV Ads,763066.37,4897416,63164,16913
165,6,2025-01,Influencer,219933.86,4214660,101084,9397
166,6,2025-01,Search Ads,61156.19,2214595,50584,14237
167,6,2025-01,Email,513132.41,4822312,157684,11523
168,6,2025-01,Billboards,190400.48,723768,187176,7742
169,6,2025-02,Social Media,622732.9,2228095,127918,19457
170,6,2025-02,TV Ads,447402.59,4523353,104712,16457
171,6,2025-02,Influencer,304745.24,4985711,109314,16537
172,6,2025-02,Search Ads,70151.13,2587865,53532,17765
173,6,2025-02,Email,693772.57,2250909,28883,3023
174,6,2025-02,Billboards,620426.94,3863277,159806,10126
175,6,2025-03,Social Media,291630.57,4959918,71043,12022
176,6,2025-03,TV Ads,87077.98,3595531,124912,10335
177,6,2025-03,Influencer,700009.1,4386941,93610,3980
178,6,2025-03,Search Ads,269205.54,2292940,83331,1394
179,6,2025-03,Email,121743.36,1948346,59006,17746
180,6,2025-03,Billboards,496661.48,573766,75987,18041
181,7,2024-12,Social Media,786530.43,2362339,85130,14476
182,7,2024-12,TV Ads,475236.01,3367405,114019,15484
183,7,2024-12,Influencer,63723.75,3018073,3800,8032
184,7,2024-12,Search Ads,295491.13,2098090,57238,11403
185,7,2024-12,Email,744470.57,2230624,59565,1315
186,7,2024-12,Billboards,430003.2,4490440,58257,13778
187,7,2025-01,Social Media,717365.08,1025632,171964,10298
188,7,2025-01,TV Ads,510377.56,4718628,188571,7265
189,7,2025-01,Influencer,296313.25,4671431,46825,14434
190,7,2025-01,Search Ads,202532.7,3481364,6113,16225
191,7,2025-01,Email,133501.79,2186312,121746,6956
192,7,2025-01,Billboards,172851.3,3692911,4203,6811
193,7,2025-02,Social Media,553629.78,934079,162741,16257
194,7,2025-02,TV Ads,746876.11,655773,123797,5065
195,7,2025-02,Influencer,107418.11,4410597,64936,3995
196,7,2025-02,Search Ads,485064.94,3672572,62412,15498
197,7,2025-02,Email,506301.1,3639644,187713,13070
198,7,2025-02,Billboards,106643.47,1548641,31689,10355
199,7,2025-03,Social Media,629829.8,352603,32011,17789
200,7,2025-03,TV Ads,271167.57,1353561,180586,3244
201,7,2025-03,Influencer,702224.64,3862360,118480,8593
202,7,2025-03,Search Ads,485434.78,4388468,66289,15295
203,7,2025-03,Email,165893.57,1297050,82528,7559
204,7,2025-03,Billboards,637281.64,4746922,93008,14747
205,7,2025-04,Social Media,758327.98,228701,55756,1236
206,7,2025-04,TV Ads,437891.95,1241996,86228,7684
207,7,2025-04,Influencer,427678.3,1413274,15001,4234
208,7,2025-04,Search Ads,213071.81,2813714,139377,2414
209,7,2025-04,Email,613959.83,3548934,2783,5089
210,7,2025-04,Billboards,199499.2,975396,89448,18705
211,8,2025-01,Social Media,728083.4,2019281,13996,19513
212,8,2025-01,TV Ads,620433.74,2255496,149422,13589
213,8,2025-01,Influencer,670302.5,4593250,176556,7269
214,8,2025-01,Search Ads,311291.06,4189861,157702,2435
215,8,2025-01,Email,732331.75,1570562,164219,5729
216,8,2025-01,Billboards,235697.69,4629167,94343,5227
217,8,2025-02,Social Media,475227.73,705719,34709,11986
218,8,2025-02,TV Ads,366134.79,390764,122174,5227
219,8,2025-02,Influencer,101818.06,4267713,3567,8650
220,8,2025-02,Search Ads,498570.39,2220979,6925,8715
221,8,2025-02,Email,135811.81,2707766,70868,4586
222,8,2025-02,Billboards,243553.28,3594879,175459,4978
223,8,2025-03,Social Media,151138.92,1793227,107326,11568
224,8,2025-03,TV Ads,505299.76,2482906,134202,2229
225,8,2025-03,Influencer,611536.53,1005620,34858,6944
226,8,2025-03,Search Ads,539762.75,322236,102445,1931
227,8,2025-03,Email,255771.4,3270420,199153,19746
228,8,2025-03,Billboards,358132.2,4707574,91767,1775
229,8,2025-04,Social Media,82860.76,1361671,192548,12571
230,8,2025-04,TV Ads,82738.74,3584008,51371,16245
231,8,2025-04,Influencer,535482.77,3430931,28859,12638
232,8,2025-04,Search Ads,677081.04,4105283,120595,10199
233,8,2025-04,Email,425106.0,1294677,38859,17512
234,8,2025-04,Billboards,353976.45,4173457,150068,1938
235,8,2025-05,Social Media,683934.07,2908157,113181,4329
236,8,2025-05,TV Ads,499528.75,1995009,108890,15113
237,8,2025-05,Influencer,487100.07,4910197,111720,10027
238,8,2025-05,Search Ads,186538.9,3651038,48740,9247
239,8,2025-05,Email,358643.7,2180360,80174,2496
240,8,2025-05,Billboards,678297.15,3652729,63260,10114
241,9,2024-11,Social Media,529272.64,2253479,123316,7870
242,9,2024-11,TV Ads,266924.46,2472546,6740,3869
243,9,2024-11,Influencer,796090.66,4198024,49596,4855
244,9,2024-11,Search Ads,485346.09,3950761,69557,8851
245,9,2024-11,Email,152942.8,2711296,9813,19083
246,9,2024-11,Billboards,396399.61,2851757,143772,2089
247,9,2024-12,Social Media,171075.8,1399431,26819,3160
248,9,2024-12,TV Ads,191659.56,1480780,145079,17653
249,9,2024-12,Influencer,293564.59,462539,76746,12844
250,9,2024-12,Search Ads,280819.92,1199301,5667,6341
251,9,2024-12,Email,746702.35,1847285,29230,17351
252,9,2024-12,Billboards,450957.6,3296224,111130,13788
253,9,2025-01,Social Media,409580.52,1244222,153976,5244
254,9,2025-01,TV Ads,268504.02,3260140,156600,16783
255,9,2025-01,Influencer,688374.78,4757167,54157,9281
256,9,2025-01,Search Ads,614606.5,1076562,14053,16539
257,9,2025-01,Email,785071.62,1313198,28951,3869
258,9,2025-01,Billboards,222953.51,4690047,84471,3503
259,9,2025-02,Social Media,288088.72,4924417,195388,14813
260,9,2025-02,TV Ads,85848.06,4440036,150745,19249
261,9,2025-02,Influencer,580433.68,2956399,5949,3551
262,9,2025-02,Search Ads,133980.52,4910061,30543,6103
263,9,2025-02,Email,710220.72,3347996,109496,12673
264,9,2025-02,Billboards,376468.04,3542694,29125,3592
265,9,2025-03,Social Media,480233.29,2705360,48071,14582
266,9,2025-03,TV Ads,705342.69,3481602,172676,18605
267,9,2025-03,Influencer,565648.05,434209,137717,17965
268,9,2025-03,Search Ads,715341.11,126736,58049,5520
269,9,2025-03,Email,735227.41,320589,168422,11452
270,9,2025-03,Billboards,389902.6,1404777,15437,11337
271,10,2025-02,Social Media,405021.1,4151247,165249,17203
272,10,2025-02,TV Ads,657027.9,599249,65586,1974
273,10,2025-02,Influencer,759711.61,266132,195138,7862
274,10,2025-02,Search Ads,174497.83,2032556,81369,11982
275,10,2025-02,Email,548230.43,3426093,45875,10376
276,10,2025-02,Billboards,780293.22,428411,51946,17823
277,10,2025-03,Social Media,566862.68,537946,172284,18370
278,10,2025-03,TV Ads,286091.07,794097,168338,12520
279,10,2025-03,Influencer,400297.23,1772522,50900,5160
280,10,2025-03,Search Ads,577643.91,2151262,35460,16750
281,10,2025-03,Email,534989.26,2312189,153075,8434
282,10,2025-03,Billboards,195396.95,3281592,181593,6799
283,10,2025-04,Social Media,712862.96,3019950,154347,10302
284,10,2025-04,TV Ads,145531.12,2556999,30187,17611
285,10,2025-04,Influencer,200803.05,1026365,71772,7078
286,10,2025-04,Search Ads,440015.35,4195141,73151,225
287,10,2025-04,Email,492829.57,3622708,12800,3346
288,10,2025-04,Billboards,763888.65,3348188,108950,6632
289,10,2025-05,Social Media,648235.07,4815034,63649,13081
290,10,2025-05,TV Ads,265549.51,2267820,195332,13555
291,10,2025-05,Influencer,734226.5,1138694,196801,17666
292,10,2025-05,Search Ads,174588.11,3775131,28208,19552
293,10,2025-05,Email,498278.82,2710674,7522,4088
294,10,2025-05,Billboards,93552.72,988795,87206,13842
295,10,2025-06,Social Media,132026.22,2158573,72966,6903
296,10,2025-06,TV Ads,626889.31,2926790,135402,17823
297,10,2025-06,Influencer,92905.79,1311813,59833,5087
298,10,2025-06,Search Ads,738999.63,307109,110253,11294
299,10,2025-06,Email,187430.56,1445791,17349,2362
300,10,2025-06,Billboards,638575.56,4401616,172810,18767
301,11,2024-12,Social Media,553170.29,4530612,32445,2341
302,11,2024-12,TV Ads,755959.32,3139407,113386,16235
303,11,2024-12,Influencer,373947.11,3638185,132381,7458
304,11,2024-12,Search Ads,700453.34,1270823,86326,16234
305,11,2024-12,Email,787664.56,3833447,40614,15508
306,11,2024-12,Billboards,674856.89,3448657,49611,7544
307,11,2025-01,Social Media,557594.78,1263684,28958,19439
308,11,2025-01,TV Ads,759404.13,2850392,61116,16675
309,11,2025-01,Influencer,82128.03,4800970,159390,5620
310,11,2025-01,Search Ads,53631.14,2059170,56307,16627
311,11,2025-01,Email,558535.79,2678557,131906,12477
312,11,2025-01,Billboards,667916.12,4586354,157862,15146
313,11,2025-02,Social Media,702544.19,1133839,54181,19394
314,11,2025-02,TV Ads,353648.88,2701909,60526,19632
315,11,2025-02,Influencer,649827.63,4043991,27144,15634
316,11,2025-02,Search Ads,72938.27,1932809,19867,2878
317,11,2025-02,Email,488782.4,2622454,3646,8998
318,11,2025-02,Billboards,98382.67,560170,63920,17755
319,11,2025-03,Social Media,138733.0,2738286,32742,2953
320,11,2025-03,TV Ads,343244.35,493399,81428,16484
321,11,2025-03,Influencer,489456.17,1121668,137307,19161
322,11,2025-03,Search Ads,203671.39,4904484,145508,2783
323,11,2025-03,Email,718855.83,2480830,95830,7526
324,11,2025-03,Billboards,327234.44,2171397,100007,1475
325,11,2025-04,Social Media,316064.05,4171459,66438,12784
326,11,2025-04,TV Ads,130316.6,4354805,170326,3011
327,11,2025-04,Influencer,474707.78,1130928,5446,9968
328,11,2025-04,Search Ads,631185.41,3890661,102235,8163
329,11,2025-04,Email,549215.38,4536608,132338,9653
330,11,2025-04,Billboards,177388.78,3629290,22414,16491
331,12,2024-05,Social Media,592026.0,4080753,172791,12309
332,12,2024-05,TV Ads,150453.91,2361942,101196,16204
333,12,2024-05,Influencer,256743.36,3535047,128302,9043
334,12,2024-05,Search Ads,524024.83,4697528,82415,12973
335,12,2024-05,Email,285192.76,4367500,180958,12537
336,12,2024-05,Billboards,252368.91,4050275,87535,17001
337,12,2024-06,Social Media,655408.43,441601,172222,5356
338,12,2024-06,TV Ads,337028.74,2852079,157553,14352
339,12,2024-06,Influencer,759833.65,4573370,77723,19300
340,12,2024-06,Search Ads,87241.0,401468,13500,12268
341,12,2024-06,Email,323610.84,1159835,170833,7804
342,12,2024-06,Billboards,530263.86,4521868,96470,3472
343,12,2024-07,Social Media,375561.87,4623309,85096,4518
344,12,2024-07,TV Ads,349129.86,854637,152205,6828
345,12,2024-07,Influencer,409402.66,429206,168287,11340
346,12,2024-07,Search Ads,369711.6,3393185,20916,18693
347,12,2024-07,Email,309159.43,379358,138289,2865
348,12,2024-07,Billboards,131610.26,2571473,36997,16645
349,12,2024-08,Social Media,292785.88,128169,167755,13302
350,12,2024-08,TV Ads,290401.77,3333844,86470,2028
351,12,2024-08,Influencer,291187.69,4286689,25377,12930
352,12,2024-08,Search Ads,471739.69,199484,170460,10303
353,12,2024-08,Email,112922.45,2424926,150179,5940
354,12,2024-08,Billboards,444023.02,3464365,23924,216
355,12,2024-09,Social Media,252041.92,2476954,29512,12428
356,12,2024-09,TV Ads,228421.89,3039994,35608,19998
357,12,2024-09,Influencer,264668.39,2733180,89592,8947
358,12,2024-09,Search Ads,252614.98,3967165,48343,1747
359,12,2024-09,Email,517792.96,788693,165163,1110
360,12,2024-09,Billboards,720407.17,1473096,63357,19264
361,13,2025-01,Social Media,403315.24,2773340,47740,12590
362,13,2025-01,TV Ads,539508.09,3156458,43287,7539
363,13,2025-01,Influencer,56595.86,2860981,72457,6921
364,13,2025-01,Search Ads,250931.72,716602,19184,3298
365,13,2025-01,Email,483209.49,4774987,50988,17859
366,13,2025-01,Billboards,405196.68,1129388,54300,9712
367,13,2025-02,Social Media,205118.54,1841074,160129,12634
368,13,2025-02,TV Ads,552733.48,3279515,51497,12215
369,13,2025-02,Influencer,647181.07,400200,107846,14378
370,13,2025-02,Search Ads,393950.23,4814146,61068,2569
371,13,2025-02,Email,404286.27,2167258,88651,10193
372,13,2025-02,Billboards,251424.39,409093,138677,2529
373,13,2025-03,Social Media,578015.61,3467984,89190,11230
374,13,2025-03,TV Ads,648830.67,3223833,57130,9674
375,13,2025-03,Influencer,336548.79,2614549,122924,6758
376,13,2025-03,Search Ads,701025.11,2055478,134827,5582
377,13,2025-03,Email,388435.01,1536501,59484,19288
378,13,2025-03,Billboards,328090.42,2755454,40559,3967
379,13,2025-04,Social Media,435801.32,3249849,63777,16085
380,13,2025-04,TV Ads,402873.19,3779839,51706,18848
381,13,2025-04,Influencer,126622.99,730594,59409,6516
382,13,2025-04,Search Ads,716630.44,2526809,142402,5770
383,13,2025-04,Email,159326.58,2508530,140960,8682
384,13,2025-04,Billboards,208716.92,559407,28931,5206
385,13,2025-05,Social Media,294390.23,301810,190194,1425
386,13,2025-05,TV Ads,554823.46,495353,32269,15409
387,13,2025-05,Influencer,181173.18,621439,18976,12907
388,13,2025-05,Search Ads,457816.12,4022594,151508,15764
389,13,2025-05,Email,163910.76,1545549,128076,13677
390,13,2025-05,Billboards,285747.06,2834602,48933,2438
391,14,2024-10,Social Media,465951.12,4464349,59873,5416
392,14,2024-10,TV Ads,703022.8,4694325,156479,17546
393,14,2024-10,Influencer,377937.58,1265731,104750,6397
394,14,2024-10,Search Ads,688305.39,4921025,77271,18958
395,14,2024-10,Email,353485.34,3544968,20488,16652
396,14,2024-10,Billboards,612422.45,4858942,170151,6449
397,14,2024-11,Social Media,686398.04,1129576,108352,7744
398,14,2024-11,TV Ads,741856.32,3979974,144900,12708
399,14,2024-11,Influencer,329852.08,4123840,181412,9678
400,14,2024-11,Search Ads,253586.42,1496999,130475,18367
401,14,2024-11,Email,78967.86,1684937,93706,16918
402,14,2024-11,Billboards,686886.66,4522145,62473,14309
403,14,2024-12,Social Media,141463.58,3223726,164934,12815
404,14,2024-12,TV Ads,630447.28,3922487,74471,14225
405,14,2024-12,Influencer,525002.55,3375408,199986,5002
406,14,2024-12,Search Ads,427196.42,4538019,197325,19238
407,14,2024-12,Email,742410.54,4933221,62755,9487
408,14,2024-12,Billboards,670014.02,3552806,179239,16168
409,14,2024-12,Social Media,75059.2,3177621,102116,9227
410,14,2024-12,TV Ads,91963.06,4851600,81972,2068
411,14,2024-12,Influencer,762784.34,3263126,104343,18388
412,14,2024-12,Search Ads,71320.94,804708,194869,5455
413,14,2024-12,Email,447148.19,4555397,34009,1402
414,14,2024-12,Billboards,650871.06,4550606,1891,8209
415,14,2025-01,Social Media,534785.23,4421737,75200,14879
416,14,2025-01,TV Ads,531479.0,1587841,145026,7603
417,14,2025-01,Influencer,798265.44,4386852,80800,12355
418,14,2025-01,Search Ads,234507.99,1900224,158241,17243
419,14,2025-01,Email,773679.21,3634275,11972,8399
420,14,2025-01,Billboards,358387.97,4111782,83003,437
421,15,2025-02,Social Media,631389.81,4013575,151691,6178
422,15,2025-02,TV Ads,745878.36,3861073,187295,14014
423,15,2025-02,Influencer,313624.98,4995912,132605,7918
424,15,2025-02,Search Ads,134094.83,3659744,18648,18171
425,15,2025-02,Email,484600.3,792099,107247,2579
426,15,2025-02,Billboards,297206.54,3018671,168601,3277
427,15,2025-03,Social Media,551880.86,2891319,148568,18426
428,15,2025-03,TV Ads,437219.79,4434831,130282,6275
429,15,2025-03,Influencer,720755.99,4731708,146323,9256
430,15,2025-03,Search Ads,306488.34,4916441,177245,12184
431,15,2025-03,Email,297811.72,3134992,88255,5340
432,15,2025-03,Billboards,435985.07,4744620,95052,19019
433,15,2025-04,Social Media,69680.32,2407149,93298,9387
434,15,2025-04,TV Ads,648486.43,3908693,131994,17409
435,15,2025-04,Influencer,304548.75,4588765,9320,2688
436,15,2025-04,Search Ads,569675.56,4398222,195992,8265
437,15,2025-04,Email,574336.16,3411695,115376,13604
438,15,2025-04,Billboards,271637.52,4551360,26888,3387
439,15,2025-05,Social Media,446505.5,4078802,106357,3390
440,15,2025-05,TV Ads,182362.73,4115821,59420,809
441,15,2025-05,Influencer,325497.78,3775741,21150,13730
442,15,2025-05,Search Ads,262138.91,538112,146068,1432
443,15,2025-05,Email,721070.2,512940,56835,16092
444,15,2025-05,Billboards,77669.37,990281,179182,3390
445,15,2025-06,Social Media,611012.93,2839349,6866,9942
446,15,2025-06,TV Ads,485106.4,1213888,87949,9176
447,15,2025-06,Influencer,633380.13,3138727,190291,16919
448,15,2025-06,Search Ads,644368.14,1590699,15400,7943
449,15,2025-06,Email,675888.84,3557247,16422,3391
450,15,2025-06,Billboards,690859.82,3906233,184691,1428
